drug_a,drug_b,pt,a_cobenfy,n_strata_used,mh_ror,mh_ror_lower95,mh_ror_upper95,mh_pvalue,mh_significant,bonferroni_sig
xanomeline-trospium,olanzapine,NAUSEA,171,6,6.2544,0.7807,50.1020,0.0842,False,False
xanomeline-trospium,olanzapine,VOMITING,171,6,5.5385,0.8410,36.4762,0.0751,False,False
xanomeline-trospium,olanzapine,CONSTIPATION,89,6,4.6343,0.5730,37.4811,0.1505,False,False
xanomeline-trospium,olanzapine,DYSPEPSIA,50,6,9.9758,0.0000,inf,1.0000,False,False
xanomeline-trospium,olanzapine,DIARRHOEA,17,6,1.2851,0.0000,inf,1.0000,False,False
xanomeline-trospium,olanzapine,TACHYCARDIA,10,6,0.3474,0.0000,inf,1.0000,False,False
xanomeline-trospium,olanzapine,HYPERTENSION,13,6,0.8875,0.0000,inf,1.0000,False,False
xanomeline-trospium,olanzapine,BLOOD PRESSURE INCREASED,14,6,14.1341,0.0000,inf,1.0000,False,False
xanomeline-trospium,olanzapine,WEIGHT INCREASED,9,6,0.1540,0.0000,inf,1.0000,False,False
xanomeline-trospium,olanzapine,HYPERGLYCAEMIA,0,6,,,,,False,False
xanomeline-trospium,olanzapine,DIABETES MELLITUS,0,6,,,,,False,False
xanomeline-trospium,olanzapine,METABOLIC SYNDROME,0,6,,,,,False,False
xanomeline-trospium,olanzapine,BLOOD GLUCOSE INCREASED,1,6,0.1847,0.0000,inf,1.0000,False,False
xanomeline-trospium,olanzapine,DYSLIPIDAEMIA,0,6,,,,,False,False
xanomeline-trospium,olanzapine,SOMNOLENCE,26,6,0.5915,0.0261,13.4064,0.7416,False,False
xanomeline-trospium,olanzapine,SEDATION,4,6,0.1694,0.0000,inf,1.0000,False,False
xanomeline-trospium,olanzapine,AKATHISIA,3,6,0.0978,0.0000,inf,1.0000,False,False
xanomeline-trospium,olanzapine,DYSTONIA,0,6,,,,,False,False
xanomeline-trospium,olanzapine,TREMOR,19,6,0.7826,0.0000,inf,1.0000,False,False
xanomeline-trospium,olanzapine,EXTRAPYRAMIDAL DISORDER,2,6,0.0547,0.0000,inf,1.0000,False,False
xanomeline-trospium,olanzapine,TARDIVE DYSKINESIA,1,6,0.0645,0.0000,inf,1.0000,False,False
xanomeline-trospium,olanzapine,PARKINSONISM,2,6,0.0789,0.0000,inf,1.0000,False,False
xanomeline-trospium,olanzapine,HYPERPROLACTINAEMIA,0,6,,,,,False,False
xanomeline-trospium,olanzapine,GALACTORRHOEA,0,6,,,,,False,False
xanomeline-trospium,olanzapine,AMENORRHOEA,0,6,,,,,False,False
xanomeline-trospium,olanzapine,DRY MOUTH,28,6,7.6565,0.0000,inf,1.0000,False,False
xanomeline-trospium,olanzapine,URINARY RETENTION,63,6,7.8851,0.5513,112.7834,0.1282,False,False
xanomeline-trospium,olanzapine,VISION BLURRED,35,6,4.7309,0.0000,inf,1.0000,False,False
xanomeline-trospium,olanzapine,DROOLING,25,6,14.9446,0.0000,inf,0.9999,False,False
xanomeline-trospium,olanzapine,SALIVARY HYPERSECRETION,10,6,0.8883,0.0000,inf,1.0000,False,False
xanomeline-trospium,olanzapine,HYPERHIDROSIS,38,6,4.0674,0.0000,inf,1.0000,False,False
xanomeline-trospium,olanzapine,QT PROLONGATION,0,6,,,,,False,False
xanomeline-trospium,risperidone,NAUSEA,171,6,4.8368,0.0000,inf,1.0000,False,False
xanomeline-trospium,risperidone,VOMITING,171,6,5.6857,0.0000,inf,1.0000,False,False
xanomeline-trospium,risperidone,CONSTIPATION,89,6,7.7551,0.7399,81.2835,0.0875,False,False
xanomeline-trospium,risperidone,DYSPEPSIA,50,6,7.7410,0.0000,inf,1.0000,False,False
xanomeline-trospium,risperidone,DIARRHOEA,17,6,1.3177,0.0000,inf,1.0000,False,False
xanomeline-trospium,risperidone,TACHYCARDIA,10,6,0.6968,0.0000,inf,1.0000,False,False
xanomeline-trospium,risperidone,HYPERTENSION,13,6,1.8217,0.0314,105.7746,0.7722,False,False
xanomeline-trospium,risperidone,BLOOD PRESSURE INCREASED,14,6,8.6974,0.0000,inf,1.0000,False,False
xanomeline-trospium,risperidone,WEIGHT INCREASED,9,6,0.1555,0.0000,inf,1.0000,False,False
xanomeline-trospium,risperidone,HYPERGLYCAEMIA,0,6,,,,,False,False
xanomeline-trospium,risperidone,DIABETES MELLITUS,0,6,,,,,False,False
xanomeline-trospium,risperidone,METABOLIC SYNDROME,0,6,,,,,False,False
xanomeline-trospium,risperidone,BLOOD GLUCOSE INCREASED,1,6,0.1539,0.0000,inf,1.0000,False,False
xanomeline-trospium,risperidone,DYSLIPIDAEMIA,0,6,,,,,False,False
xanomeline-trospium,risperidone,SOMNOLENCE,26,6,0.6779,0.0273,16.8496,0.8125,False,False
xanomeline-trospium,risperidone,SEDATION,4,6,0.1689,0.0000,inf,1.0000,False,False
xanomeline-trospium,risperidone,AKATHISIA,3,6,0.0879,0.0000,inf,1.0000,False,False
xanomeline-trospium,risperidone,DYSTONIA,0,6,,,,,False,False
xanomeline-trospium,risperidone,TREMOR,19,6,0.7142,0.0000,inf,1.0000,False,False
xanomeline-trospium,risperidone,EXTRAPYRAMIDAL DISORDER,2,6,0.0294,0.0000,inf,1.0000,False,False
xanomeline-trospium,risperidone,TARDIVE DYSKINESIA,1,6,0.0672,0.0000,inf,1.0000,False,False
xanomeline-trospium,risperidone,PARKINSONISM,2,6,0.1074,0.0000,inf,1.0000,False,False
xanomeline-trospium,risperidone,HYPERPROLACTINAEMIA,0,6,,,,,False,False
xanomeline-trospium,risperidone,GALACTORRHOEA,0,6,,,,,False,False
xanomeline-trospium,risperidone,AMENORRHOEA,0,6,,,,,False,False
xanomeline-trospium,risperidone,DRY MOUTH,28,6,8.6361,0.0000,inf,1.0000,False,False
xanomeline-trospium,risperidone,URINARY RETENTION,63,6,7.7448,0.0000,inf,1.0000,False,False
xanomeline-trospium,risperidone,VISION BLURRED,35,6,6.1424,0.0000,inf,1.0000,False,False
xanomeline-trospium,risperidone,DROOLING,25,6,5.6369,0.0000,inf,0.9999,False,False
xanomeline-trospium,risperidone,SALIVARY HYPERSECRETION,10,6,0.9655,0.0000,inf,1.0000,False,False
xanomeline-trospium,risperidone,HYPERHIDROSIS,38,6,8.0689,0.0000,inf,1.0000,False,False
xanomeline-trospium,risperidone,QT PROLONGATION,0,6,,,,,False,False
xanomeline-trospium,aripiprazole,NAUSEA,171,6,6.5884,0.8843,49.0862,0.0658,False,False
xanomeline-trospium,aripiprazole,VOMITING,171,6,8.4558,1.1005,64.9704,0.0402,True,False
xanomeline-trospium,aripiprazole,CONSTIPATION,89,6,5.1898,0.0000,inf,1.0000,False,False
xanomeline-trospium,aripiprazole,DYSPEPSIA,50,6,8.1918,0.0000,inf,1.0000,False,False
xanomeline-trospium,aripiprazole,DIARRHOEA,17,6,1.1021,0.0000,inf,1.0000,False,False
xanomeline-trospium,aripiprazole,TACHYCARDIA,10,6,0.8867,0.0000,inf,1.0000,False,False
xanomeline-trospium,aripiprazole,HYPERTENSION,13,6,0.6331,0.0000,inf,1.0000,False,False
xanomeline-trospium,aripiprazole,BLOOD PRESSURE INCREASED,14,6,8.2859,0.0000,inf,1.0000,False,False
xanomeline-trospium,aripiprazole,WEIGHT INCREASED,9,6,0.1396,0.0000,inf,1.0000,False,False
xanomeline-trospium,aripiprazole,HYPERGLYCAEMIA,0,6,,,,,False,False
xanomeline-trospium,aripiprazole,DIABETES MELLITUS,0,6,,,,,False,False
xanomeline-trospium,aripiprazole,METABOLIC SYNDROME,0,6,,,,,False,False
xanomeline-trospium,aripiprazole,BLOOD GLUCOSE INCREASED,1,6,0.1572,0.0000,inf,1.0000,False,False
xanomeline-trospium,aripiprazole,DYSLIPIDAEMIA,0,6,,,,,False,False
xanomeline-trospium,aripiprazole,SOMNOLENCE,26,6,0.8392,0.0000,inf,1.0000,False,False
xanomeline-trospium,aripiprazole,SEDATION,4,6,0.1655,0.0000,inf,1.0000,False,False
xanomeline-trospium,aripiprazole,AKATHISIA,3,6,0.0681,0.0000,inf,1.0000,False,False
xanomeline-trospium,aripiprazole,DYSTONIA,0,6,,,,,False,False
xanomeline-trospium,aripiprazole,TREMOR,19,6,0.5123,0.0000,inf,1.0000,False,False
