drug,n_cases,pct
CLOZAPINE,54,3.1
OLANZAPINE,37,2.1
ARIPIPRAZOLE,34,1.9
RISPERIDONE,33,1.9
DIVALPROEX SODIUM,29,1.6
HALOPERIDOL,28,1.6
LITHIUM,27,1.5
CLONAZEPAM,26,1.5
LAMOTRIGINE,24,1.4
PALIPERIDONE PALMITATE,21,1.2
QUETIAPINE FUMARATE,17,1.0
FLUOXETINE HYDROCHLORIDE,16,0.9
TRAZODONE HYDROCHLORIDE,15,0.9
PALIPERIDONE,15,0.9
BENZTROPINE,15,0.9
PROPRANOLOL HYDROCHLORIDE,14,0.8
HYDROXYZINE HYDROCHLORIDE,14,0.8
LUMATEPERONE,13,0.7
CARIPRAZINE,12,0.7
SERTRALINE HYDROCHLORIDE,12,0.7
QUETIAPINE,10,0.6
METFORMIN HYDROCHLORIDE,10,0.6
POLYETHYLENE GLYCOL 3350,10,0.6
BUSPIRONE HYDROCHLORIDE,9,0.5
ONDANSETRON HYDROCHLORIDE,9,0.5
VENLAFAXINE HYDROCHLORIDE,9,0.5
PRAZOSIN,8,0.5
LORAZEPAM,8,0.5
GABAPENTIN,8,0.5
BENZTROPINE MESYLATE,8,0.5
