pt,n_cyp2d6,pct_cyp2d6,n_no_cyp2d6,pct_no_cyp2d6,n_cyp2d6_total,n_no_cyp2d6_total,fisher_p
AMPHETAMINES POSITIVE,0,0.0000,3,0.1733,27,1731,1.0000
VIOLENCE-RELATED SYMPTOM,0,0.0000,3,0.1733,27,1731,1.0000
DROOLING,1,3.7037,37,2.1375,27,1731,0.4481
URINARY RETENTION,0,0.0000,112,6.4702,27,1731,0.4116
SOLILOQUY,0,0.0000,3,0.1733,27,1731,1.0000
SALIVARY HYPERSECRETION,1,3.7037,22,1.2709,27,1731,0.3011
"HALLUCINATION, AUDITORY",0,0.0000,32,1.8486,27,1731,1.0000
SCHIZOAFFECTIVE DISORDER,0,0.0000,3,0.1733,27,1731,1.0000
PSYCHIATRIC DECOMPENSATION,0,0.0000,4,0.2311,27,1731,1.0000
INTRUSIVE THOUGHTS,0,0.0000,4,0.2311,27,1731,1.0000
TACHYPHRENIA,0,0.0000,4,0.2311,27,1731,1.0000
VOMITING PROJECTILE,0,0.0000,6,0.3466,27,1731,1.0000
PSYCHOTIC DISORDER,2,7.4074,31,1.7909,27,1731,0.0896
MANIA,0,0.0000,15,0.8666,27,1731,1.0000
NEGATIVE THOUGHTS,0,0.0000,3,0.1733,27,1731,1.0000
PARANOIA,0,0.0000,13,0.7510,27,1731,1.0000
SCHIZOPHRENIA,0,0.0000,13,0.7510,27,1731,1.0000
SEDATION COMPLICATION,0,0.0000,3,0.1733,27,1731,1.0000
AKATHISIA,0,0.0000,8,0.4622,27,1731,1.0000
ANURIA,0,0.0000,4,0.2311,27,1731,1.0000
ANGER,0,0.0000,15,0.8666,27,1731,1.0000
VOMITING,6,22.2222,291,16.8111,27,1731,0.4388
DYSURIA,0,0.0000,20,1.1554,27,1731,1.0000
DYSPEPSIA,0,0.0000,65,3.7551,27,1731,0.6222
FEELING OF BODY TEMPERATURE CHANGE,1,3.7037,2,0.1155,27,1731,0.0454
HYPERHIDROSIS,2,7.4074,60,3.4662,27,1731,0.2461
TREATMENT NONCOMPLIANCE,0,0.0000,43,2.4841,27,1731,1.0000
THINKING ABNORMAL,0,0.0000,6,0.3466,27,1731,1.0000
NAUSEA,9,33.3333,356,20.5661,27,1731,0.1465
COLD SWEAT,1,3.7037,7,0.4044,27,1731,0.1167
DRY MOUTH,0,0.0000,45,2.5997,27,1731,1.0000
CONSTIPATION,4,14.8148,130,7.5101,27,1731,0.1449
HICCUPS,0,0.0000,4,0.2311,27,1731,1.0000
DELUSION,0,0.0000,8,0.4622,27,1731,1.0000
VISION BLURRED,3,11.1111,65,3.7551,27,1731,0.0835
"HALLUCINATION, VISUAL",0,0.0000,12,0.6932,27,1731,1.0000
GASTROOESOPHAGEAL REFLUX DISEASE,0,0.0000,42,2.4263,27,1731,1.0000
ABNORMAL BEHAVIOUR,2,7.4074,7,0.4044,27,1731,0.0077
EXTRAPYRAMIDAL DISORDER,0,0.0000,4,0.2311,27,1731,1.0000
MOVEMENT DISORDER,0,0.0000,11,0.6355,27,1731,1.0000
ADVERSE EVENT,0,0.0000,34,1.9642,27,1731,1.0000
SEDATION,0,0.0000,13,0.7510,27,1731,1.0000
HEART RATE INCREASED,2,7.4074,33,1.9064,27,1731,0.0991
PRODUCT SUPPLY ISSUE,0,0.0000,4,0.2311,27,1731,1.0000
INCREASED APPETITE,0,0.0000,8,0.4622,27,1731,1.0000
URINARY INCONTINENCE,1,3.7037,7,0.4044,27,1731,0.1167
AGGRESSION,0,0.0000,11,0.6355,27,1731,1.0000
AGITATION,0,0.0000,16,0.9243,27,1731,1.0000
APATHY,0,0.0000,4,0.2311,27,1731,1.0000
DYSKINESIA,0,0.0000,10,0.5777,27,1731,1.0000
RETCHING,0,0.0000,6,0.3466,27,1731,1.0000
HYPERSOMNIA,0,0.0000,8,0.4622,27,1731,1.0000
TACHYCARDIA,0,0.0000,24,1.3865,27,1731,1.0000
THERAPEUTIC RESPONSE UNEXPECTED,1,3.7037,7,0.4044,27,1731,0.1167
HALLUCINATION,1,3.7037,20,1.1554,27,1731,0.2788
SUICIDAL IDEATION,0,0.0000,18,1.0399,27,1731,1.0000
SOMNOLENCE,2,7.4074,40,2.3108,27,1731,0.1345
GASTROINTESTINAL DISORDER,0,0.0000,32,1.8486,27,1731,1.0000
TREMOR,0,0.0000,27,1.5598,27,1731,1.0000
NIGHT SWEATS,0,0.0000,8,0.4622,27,1731,1.0000
ABDOMINAL DISCOMFORT,1,3.7037,35,2.0220,27,1731,0.4304
IRRITABILITY,0,0.0000,8,0.4622,27,1731,1.0000
ANGIOEDEMA,0,0.0000,8,0.4622,27,1731,1.0000
DYSPHAGIA,1,3.7037,16,0.9243,27,1731,0.2323
