pt,dose_group,n_events,n_total,pct,fisher_p
AMPHETAMINES POSITIVE,low,0,60,0.0000,1.0000
AMPHETAMINES POSITIVE,high,0,57,0.0000,1.0000
VIOLENCE-RELATED SYMPTOM,low,0,60,0.0000,1.0000
VIOLENCE-RELATED SYMPTOM,high,0,57,0.0000,1.0000
DROOLING,low,3,60,5.0000,1.0000
DROOLING,high,3,57,5.2632,1.0000
URINARY RETENTION,low,6,60,10.0000,0.7436
URINARY RETENTION,high,4,57,7.0175,0.7436
SOLILOQUY,low,1,60,1.6667,1.0000
SOLILOQUY,high,1,57,1.7544,1.0000
SALIVARY HYPERSECRETION,low,0,60,0.0000,1.0000
SALIVARY HYPERSECRETION,high,0,57,0.0000,1.0000
"HALLUCINATION, AUDITORY",low,3,60,5.0000,1.0000
"HALLUCINATION, AUDITORY",high,3,57,5.2632,1.0000
SCHIZOAFFECTIVE DISORDER,low,1,60,1.6667,1.0000
SCHIZOAFFECTIVE DISORDER,high,1,57,1.7544,1.0000
PSYCHIATRIC DECOMPENSATION,low,0,60,0.0000,1.0000
PSYCHIATRIC DECOMPENSATION,high,0,57,0.0000,1.0000
INTRUSIVE THOUGHTS,low,0,60,0.0000,1.0000
INTRUSIVE THOUGHTS,high,0,57,0.0000,1.0000
TACHYPHRENIA,low,0,60,0.0000,1.0000
TACHYPHRENIA,high,0,57,0.0000,1.0000
VOMITING PROJECTILE,low,0,60,0.0000,1.0000
VOMITING PROJECTILE,high,0,57,0.0000,1.0000
PSYCHOTIC DISORDER,low,1,60,1.6667,1.0000
PSYCHOTIC DISORDER,high,0,57,0.0000,1.0000
MANIA,low,0,60,0.0000,1.0000
MANIA,high,0,57,0.0000,1.0000
NEGATIVE THOUGHTS,low,0,60,0.0000,1.0000
NEGATIVE THOUGHTS,high,0,57,0.0000,1.0000
PARANOIA,low,2,60,3.3333,1.0000
PARANOIA,high,2,57,3.5088,1.0000
SCHIZOPHRENIA,low,1,60,1.6667,1.0000
SCHIZOPHRENIA,high,1,57,1.7544,1.0000
SEDATION COMPLICATION,low,0,60,0.0000,1.0000
SEDATION COMPLICATION,high,0,57,0.0000,1.0000
AKATHISIA,low,0,60,0.0000,0.4872
AKATHISIA,high,1,57,1.7544,0.4872
ANURIA,low,0,60,0.0000,1.0000
ANURIA,high,0,57,0.0000,1.0000
