pt,a,ror,ror_lower95,e_value_point,e_value_ci
AMPHETAMINES POSITIVE,3,190.7163,61.7819,380.9319,123.0618
VIOLENCE-RELATED SYMPTOM,3,64.5268,22.0030,128.5516,43.5002
DROOLING,38,63.6432,45.8805,126.7844,91.2582
URINARY RETENTION,112,43.9422,36.1937,87.3815,71.8839
SOLILOQUY,3,37.1509,12.8140,73.7984,25.1178
SALIVARY HYPERSECRETION,23,29.1452,19.3085,57.7860,38.1104
"HALLUCINATION, AUDITORY",32,25.8781,18.2260,51.2513,35.9449
SCHIZOAFFECTIVE DISORDER,3,24.1736,8.3836,47.8419,16.2513
PSYCHIATRIC DECOMPENSATION,4,22.9511,9.0217,45.3966,17.5287
INTRUSIVE THOUGHTS,4,22.1231,8.6989,43.7404,16.8825
TACHYPHRENIA,4,20.1815,7.9412,39.8566,15.3656
VOMITING PROJECTILE,6,18.6263,8.5726,36.7457,16.6297
PSYCHOTIC DISORDER,33,15.9632,11.3162,31.4183,22.1208
MANIA,15,15.4284,9.3285,30.3484,18.1428
NEGATIVE THOUGHTS,3,14.8720,5.1781,29.2353,9.8294
PARANOIA,13,12.3367,7.2024,24.1628,13.8861
SCHIZOPHRENIA,13,11.7275,6.8477,22.9439,13.1757
SEDATION COMPLICATION,3,10.8755,3.7930,21.2389,7.0478
AKATHISIA,8,9.5527,4.8565,18.5916,9.1842
ANURIA,4,8.7669,3.4644,17.0187,6.3863
ANGER,15,8.6434,5.2331,16.7714,9.9397
VOMITING,297,8.5190,7.5182,16.5224,14.5186
DYSURIA,20,7.7962,5.0371,15.0752,9.5466
DYSPEPSIA,65,7.4959,5.8523,14.4739,11.1812
FEELING OF BODY TEMPERATURE CHANGE,3,7.4029,2.5857,14.2877,4.6106
HYPERHIDROSIS,62,7.3998,5.7447,14.2815,10.9655
TREATMENT NONCOMPLIANCE,43,6.9964,5.1740,13.4735,9.8212
THINKING ABNORMAL,6,6.9109,3.1923,13.3023,5.8378
NAUSEA,365,6.8721,6.1231,13.2246,11.7239
COLD SWEAT,8,6.8686,3.4945,13.2175,6.4470
DRY MOUTH,45,6.4921,4.8329,12.4633,9.1369
CONSTIPATION,134,6.3889,5.3564,12.2565,10.1870
HICCUPS,4,6.3757,2.5218,12.2301,4.4808
DELUSION,8,6.2816,3.1963,12.0415,5.8458
VISION BLURRED,68,6.2431,4.9005,11.9644,9.2725
"HALLUCINATION, VISUAL",12,5.9997,3.4350,11.4766,6.3271
GASTROOESOPHAGEAL REFLUX DISEASE,42,5.8817,4.3353,11.2401,8.1379
ABNORMAL BEHAVIOUR,9,5.8106,3.0666,11.0976,5.5840
EXTRAPYRAMIDAL DISORDER,4,5.4713,2.1648,10.4174,3.7527
MOVEMENT DISORDER,11,4.9887,2.7903,9.4495,5.0254
ADVERSE EVENT,34,4.9842,3.5559,9.4404,6.5706
SEDATION,13,4.3087,2.5199,8.0844,4.4769
HEART RATE INCREASED,35,4.0054,2.8714,7.4750,5.1895
PRODUCT SUPPLY ISSUE,4,3.9847,1.5775,7.4333,2.5320
INCREASED APPETITE,8,3.9308,2.0014,7.3250,3.4171
URINARY INCONTINENCE,8,3.9249,1.9984,7.3131,3.4109
AGGRESSION,11,3.8905,2.1766,7.2439,3.7769
AGITATION,16,3.8039,2.3408,7.0697,4.1124
APATHY,4,3.6863,1.4595,6.8331,2.2784
DYSKINESIA,10,3.6622,1.9947,6.7846,3.4033
RETCHING,6,3.6159,1.6720,6.6914,2.7320
HYPERSOMNIA,8,3.6083,1.8374,6.6761,3.0778
TACHYCARDIA,24,3.4166,2.2918,6.2900,4.0124
THERAPEUTIC RESPONSE UNEXPECTED,8,2.9936,1.5246,5.4366,2.4189
HALLUCINATION,21,2.9513,1.9279,5.3511,3.2654
SUICIDAL IDEATION,18,2.8723,1.8157,5.1913,3.0327
SOMNOLENCE,42,2.7605,2.0354,4.9650,3.4871
GASTROINTESTINAL DISORDER,32,2.7414,1.9368,4.9263,3.2838
TREMOR,27,2.4761,1.6982,4.3879,2.7871
NIGHT SWEATS,8,2.4019,1.2235,4.2369,1.7464
ABDOMINAL DISCOMFORT,36,2.4015,1.7297,4.2361,2.8532
IRRITABILITY,8,2.3837,1.2142,4.1998,1.7242
ANGIOEDEMA,8,2.3578,1.2010,4.1471,1.6923
DYSPHAGIA,17,2.2400,1.3982,3.9066,2.1444
