pt,a,n_reaction,n_drug,N,b,c,d,expected,ror,ror_lower95,ror_upper95,signal_ror
RESTLESSNESS,5,3061,1069,2154081,1064,3056,2149956,1.5191,3.6343,1.5711,8.4071,True
SPEECH DISORDER,4,4388,1069,2154081,1065,4384,2148628,2.1776,2.0697,0.8196,5.2266,False
ERUCTATION,3,3033,1069,2154081,1066,3030,2149982,1.5052,2.3282,0.8148,6.6532,False
"HALLUCINATION, AUDITORY",20,1596,1069,2154081,1049,1576,2151436,0.7920,26.6567,17.1699,41.3850,True
SOLILOQUY,3,118,1069,2154081,1066,115,2152897,0.0586,61.1714,21.0851,177.4684,True
CONDITION AGGRAVATED,11,46524,1069,2154081,1058,46513,2106499,23.0883,0.4920,0.2752,0.8798,False
MUSCULAR WEAKNESS,7,11182,1069,2154081,1062,11175,2141837,5.5493,1.3529,0.6595,2.7751,False
HALLUCINATION,15,9007,1069,2154081,1054,8992,2144020,4.4699,3.5046,2.1216,5.7891,True
PALPITATIONS,9,11689,1069,2154081,1060,11680,2141332,5.8009,1.6422,0.8668,3.1114,False
"HALLUCINATION, VISUAL",10,2576,1069,2154081,1059,2566,2150446,1.2784,8.3038,4.5160,15.2686,True
MENTAL DISORDER,4,4149,1069,2154081,1065,4145,2148867,2.0590,2.1892,0.8669,5.5287,False
PSYCHOTIC DISORDER,23,2647,1069,2154081,1046,2624,2150388,1.3136,18.3992,12.2031,27.7414,True
THINKING ABNORMAL,4,1160,1069,2154081,1065,1156,2151856,0.5757,7.8583,3.1077,19.8710,True
TREATMENT NONCOMPLIANCE,22,7815,1069,2154081,1047,7793,2145219,3.8783,5.9125,3.8917,8.9824,True
PAIN,3,54294,1069,2154081,1066,54291,2098721,26.9443,0.1269,0.0444,0.3623,False
SUICIDAL IDEATION,11,7953,1069,2154081,1058,7942,2145070,3.9468,2.9342,1.6404,5.2486,True
DRUG INTOLERANCE,6,11585,1069,2154081,1063,11579,2141433,5.7493,1.1303,0.5226,2.4444,False
DYSPEPSIA,51,11113,1069,2154081,1018,11062,2141950,5.5150,9.7904,7.3953,12.9613,True
DYSKINESIA,7,3533,1069,2154081,1062,3526,2149486,1.7533,4.3025,2.0964,8.8302,True
URINARY RETENTION,84,3453,1069,2154081,985,3369,2149643,1.7136,54.7017,43.6921,68.4856,True
HAEMATOCHEZIA,3,7614,1069,2154081,1066,7611,2145401,3.7786,0.9250,0.3238,2.6424,False
SCHIZOPHRENIA,13,1431,1069,2154081,1056,1418,2151594,0.7102,19.3819,11.3020,33.2381,True
URINARY INCONTINENCE,6,2667,1069,2154081,1063,2661,2150351,1.3235,4.9381,2.2817,10.6871,True
URINARY TRACT INFECTION,12,20052,1069,2154081,1057,20040,2132972,9.9512,1.2581,0.7202,2.1977,False
PERIPHERAL SWELLING,3,19114,1069,2154081,1066,19111,2133901,9.4857,0.3664,0.1283,1.0466,False
ANGER,10,2226,1069,2154081,1059,2216,2150796,1.1047,9.6166,5.2289,17.6860,True
WEIGHT INCREASED,8,25131,1069,2154081,1061,25123,2127889,12.4717,0.6782,0.3453,1.3321,False
NAUSEA,233,79493,1069,2154081,836,79260,2073752,39.4498,7.3033,6.3160,8.4450,True
GASTROINTESTINAL DISORDER,14,14710,1069,2154081,1055,14696,2138316,7.3001,1.9988,1.1901,3.3570,True
WEIGHT DECREASED,18,28957,1069,2154081,1051,28939,2124073,14.3704,1.2913,0.8153,2.0452,False
INSOMNIA,23,23222,1069,2154081,1046,23199,2129813,11.5243,2.0615,1.3695,3.1034,True
PRODUCT ADMINISTRATION ERROR,3,3421,1069,2154081,1066,3418,2149594,1.6977,2.0636,0.7222,5.8966,False
PARANOIA,11,1361,1069,2154081,1058,1350,2151662,0.6754,17.3096,9.6573,31.0254,True
NEGATIVE THOUGHTS,3,291,1069,2154081,1066,288,2152724,0.1444,24.4878,8.5204,70.3782,True
PRODUCT DOSE OMISSION ISSUE,6,82367,1069,2154081,1063,82361,2070651,40.8761,0.1537,0.0711,0.3323,False
DRUG INEFFECTIVE,23,124695,1069,2154081,1046,124672,2028340,61.8821,0.3653,0.2427,0.5499,False
HOT FLUSH,4,12230,1069,2154081,1065,12226,2140786,6.0693,0.7395,0.2929,1.8669,False
PRURITUS,4,57868,1069,2154081,1065,57864,2095148,28.7180,0.1529,0.0606,0.3860,False
HEART RATE INCREASED,22,11046,1069,2154081,1047,11024,2141988,5.4818,4.1734,2.7475,6.3393,True
