pt,reporter_group,a,n_drug,n_reaction,N,ror,ror_lower95,ror_upper95,ror_pvalue,signal
AMPHETAMINES POSITIVE,HCP,3,758,10,1009215,622.9123,174.7957,2219.8472,0.0000,True
VIOLENCE-RELATED SYMPTOM,HCP,1,758,28,1009215,,,,,False
DROOLING,HCP,14,758,326,1009215,62.8314,36.9308,106.8967,0.0000,True
URINARY RETENTION,HCP,56,758,1777,1009215,47.0339,35.7210,61.9296,0.0000,True
SOLILOQUY,HCP,1,758,57,1009215,,,,,False
SALIVARY HYPERSECRETION,HCP,12,758,542,1009215,31.8144,18.0741,56.0003,0.0000,True
"HALLUCINATION, AUDITORY",HCP,11,758,880,1009215,17.8279,9.9203,32.0389,0.0000,True
SCHIZOAFFECTIVE DISORDER,HCP,1,758,118,1009215,,,,,False
PSYCHIATRIC DECOMPENSATION,HCP,3,758,196,1009215,24.1394,8.3674,69.6406,0.0000,True
INTRUSIVE THOUGHTS,HCP,0,758,59,1009215,,,,,False
TACHYPHRENIA,HCP,1,758,84,1009215,,,,,False
VOMITING PROJECTILE,HCP,4,758,117,1009215,52.9866,20.5991,136.2963,0.0000,True
PSYCHOTIC DISORDER,HCP,22,758,1485,1009215,21.0206,13.7758,32.0755,0.0000,True
MANIA,HCP,6,758,678,1009215,12.9444,5.9589,28.1190,0.0000,True
NEGATIVE THOUGHTS,HCP,1,758,61,1009215,,,,,False
PARANOIA,HCP,5,758,542,1009215,13.6876,5.8911,31.8021,0.0000,True
SCHIZOPHRENIA,HCP,8,758,962,1009215,11.9547,6.0623,23.5746,0.0000,True
SEDATION COMPLICATION,HCP,3,758,292,1009215,16.1331,5.6096,46.3983,0.0000,True
AKATHISIA,HCP,3,758,622,1009215,7.5367,2.6294,21.6029,0.0002,True
ANURIA,HCP,2,758,491,1009215,,,,,False
ANGER,HCP,4,758,507,1009215,11.9397,4.7070,30.2860,0.0000,True
VOMITING,HCP,112,758,21343,1009215,8.0913,6.6201,9.8896,0.0000,True
DYSURIA,HCP,1,758,1109,1009215,,,,,False
DYSPEPSIA,HCP,13,758,3550,1009215,5.1442,3.0000,8.8211,0.0000,True
FEELING OF BODY TEMPERATURE CHANGE,HCP,0,758,144,1009215,,,,,False
HYPERHIDROSIS,HCP,15,758,4362,1009215,4.8150,2.9091,7.9694,0.0000,True
TREATMENT NONCOMPLIANCE,HCP,22,758,3974,1009215,7.7641,5.0982,11.8241,0.0000,True
THINKING ABNORMAL,HCP,1,758,254,1009215,,,,,False
NAUSEA,HCP,163,758,29297,1009215,9.2290,7.7594,10.9769,0.0000,True
COLD SWEAT,HCP,1,758,609,1009215,,,,,False
DRY MOUTH,HCP,13,758,3554,1009215,5.1384,2.9966,8.8111,0.0000,True
CONSTIPATION,HCP,51,758,7352,1009215,9.9809,7.5147,13.2566,0.0000,True
HICCUPS,HCP,3,758,367,1009215,12.8126,4.4608,36.8010,0.0000,True
DELUSION,HCP,5,758,601,1009215,12.3330,5.3103,28.6429,0.0000,True
VISION BLURRED,HCP,24,758,5476,1009215,6.1360,4.0991,9.1850,0.0000,True
"HALLUCINATION, VISUAL",HCP,3,758,1139,1009215,4.1061,1.4345,11.7538,0.0085,True
GASTROOESOPHAGEAL REFLUX DISEASE,HCP,16,758,3384,1009215,6.6306,4.0661,10.8127,0.0000,True
ABNORMAL BEHAVIOUR,HCP,4,758,781,1009215,7.7299,3.0518,19.5792,0.0000,True
EXTRAPYRAMIDAL DISORDER,HCP,2,758,859,1009215,,,,,False
MOVEMENT DISORDER,HCP,5,758,952,1009215,7.7616,3.3467,18.0004,0.0000,True
ADVERSE EVENT,HCP,13,758,3332,1009215,5.4833,3.1975,9.4030,0.0000,True
SEDATION,HCP,7,758,2946,1009215,3.4139,1.6614,7.0147,0.0008,True
HEART RATE INCREASED,HCP,17,758,3347,1009215,7.1226,4.4284,11.4561,0.0000,True
PRODUCT SUPPLY ISSUE,HCP,1,758,303,1009215,,,,,False
INCREASED APPETITE,HCP,5,758,469,1009215,15.8399,6.8129,36.8273,0.0000,True
