pt,blinded_rating,occ1,occ2
DROOLING,P,P,P
GASTROINTESTINAL DISORDER,P,P,P
GASTROOESOPHAGEAL REFLUX DISEASE,P,P,P
THINKING ABNORMAL,I,D,I
TREATMENT NONCOMPLIANCE,D,P,D
SOLILOQUY,D,P,D
DYSURIA,P,P,P
VOMITING,P,P,P
TACHYCARDIA,P,P,P
AKATHISIA,I,P,I
SUICIDAL IDEATION,D,D,D
ANGER,D,D,D
SCHIZOAFFECTIVE DISORDER,D,P,D
URINARY INCONTINENCE,P,P,P
MANIA,D,D,D
URINARY RETENTION,P,P,P
DRY MOUTH,P,P,P
IRRITABILITY,D,P,D
SEDATION COMPLICATION,P,P,P
NEGATIVE THOUGHTS,D,D,D
SOMNOLENCE,P,P,P
TACHYPHRENIA,D,D,D
APATHY,D,P,D
SCHIZOPHRENIA,D,D,D
SALIVARY HYPERSECRETION,P,P,P
AGITATION,D,D,D
HYPERHIDROSIS,P,P,P
TREMOR,P,P,P
HICCUPS,P,P,P
HALLUCINATION,D,D,D
PSYCHIATRIC DECOMPENSATION,D,P,D
RETCHING,P,P,P
PRODUCT SUPPLY ISSUE,I,P,I
FEELING OF BODY TEMPERATURE CHANGE,P,P,P
NIGHT SWEATS,P,P,P
VOMITING PROJECTILE,P,P,P
INTRUSIVE THOUGHTS,D,D,D
PARANOIA,D,D,D
HEART RATE INCREASED,P,P,P
CONSTIPATION,P,P,P
MOVEMENT DISORDER,I,P,I
"HALLUCINATION, AUDITORY",D,D,D
DYSKINESIA,I,P,I
SEDATION,P,P,P
INCREASED APPETITE,I,P,I
EXTRAPYRAMIDAL DISORDER,I,P,I
ANURIA,P,P,P
"HALLUCINATION, VISUAL",D,D,D
VIOLENCE-RELATED SYMPTOM,D,D,D
HYPERSOMNIA,P,P,P
COLD SWEAT,P,P,P
AGGRESSION,D,D,D
PSYCHOTIC DISORDER,D,D,D
DELUSION,D,D,D
AMPHETAMINES POSITIVE,D,D,D
THERAPEUTIC RESPONSE UNEXPECTED,I,P,I
DYSPEPSIA,P,P,P
ANGIOEDEMA,P,P,P
DYSPHAGIA,P,P,P
ABNORMAL BEHAVIOUR,D,D,D
VISION BLURRED,P,P,P
ADVERSE EVENT,I,P,I
ABDOMINAL DISCOMFORT,P,P,P
NAUSEA,P,P,P
