indication,n
SCHIZOPHRENIA,1027
PRODUCT USED FOR UNKNOWN INDICATION,884
SCHIZOAFFECTIVE DISORDER,38
PSYCHOTIC DISORDER,17
SCHIZOAFFECTIVE DISORDER BIPOLAR TYPE,9
BIPOLAR DISORDER,9
ANXIETY,9
AFFECTIVE DISORDER,6
AGITATION,4
NAUSEA,4
DRUG USE DISORDER,3
AUTISM SPECTRUM DISORDER,3
VOMITING,3
BLOOD PRESSURE MEASUREMENT,3
INSOMNIA,3
"HALLUCINATION, AUDITORY",2
BIPOLAR I DISORDER,2
SLEEP DISORDER,2
PAIN,2
EPILEPSY,2
HYPERTENSION,2
MAJOR DEPRESSION,2
EXTRAPYRAMIDAL DISORDER,2
HALLUCINATION,2
INTELLECTUAL DISABILITY,2
AKATHISIA,2
AGGRESSION,2
DEPRESSION,2
TACHYCARDIA,2
MOOD SWINGS,2
