pt,a,n_drug,n_reaction,N,ror,ror_lower95,ror_upper95,ror_pvalue,signal
AMPHETAMINES POSITIVE,2,1298,24,1808849,,,,,False
VIOLENCE-RELATED SYMPTOM,2,1298,57,1808849,,,,,False
DROOLING,27,1298,678,1808849,59.9841,40.7956,88.1981,0.0000,True
URINARY RETENTION,80,1298,2939,1808849,41.6950,33.1772,52.3995,0.0000,True
TACHYPHRENIA,4,1298,224,1808849,28.4931,11.1869,72.5724,0.0000,True
"HALLUCINATION, AUDITORY",23,1298,1336,1808849,25.3357,16.7872,38.2372,0.0000,True
SALIVARY HYPERSECRETION,13,1298,851,1808849,22.6281,13.1800,38.8492,0.0000,True
VOMITING PROJECTILE,6,1298,360,1808849,25.6373,11.7793,55.7989,0.0000,True
INTRUSIVE THOUGHTS,3,1298,220,1808849,22.4497,7.7976,64.6339,0.0000,True
NEGATIVE THOUGHTS,3,1298,249,1808849,19.8082,6.8869,56.9730,0.0000,True
PSYCHOTIC DISORDER,22,1298,2262,1808849,14.2026,9.3422,21.5918,0.0000,True
PARANOIA,9,1298,1149,1808849,11.6687,6.1474,22.1490,0.0000,True
SEDATION COMPLICATION,3,1298,321,1808849,15.3298,5.3387,44.0184,0.0000,True
MANIA,4,1298,1036,1808849,6.0822,2.4056,15.3780,0.0001,True
AKATHISIA,5,1298,924,1808849,8.3544,3.6066,19.3521,0.0000,True
ANGER,10,1298,1883,1808849,7.8540,4.2717,14.4406,0.0000,True
SCHIZOPHRENIA,6,1298,1258,1808849,7.2526,3.3490,15.7062,0.0000,True
VOMITING,225,1298,42510,1808849,8.7693,7.5940,10.1265,0.0000,True
ANURIA,2,1298,555,1808849,,,,,False
HICCUPS,4,1298,717,1808849,8.8031,3.4786,22.2773,0.0000,True
DELUSION,6,1298,1432,1808849,6.3674,2.9409,13.7858,0.0000,True
DYSURIA,16,1298,2806,1808849,8.3208,5.1127,13.5419,0.0000,True
NAUSEA,291,1298,65769,1808849,7.6977,6.7554,8.7715,0.0000,True
DYSPEPSIA,49,1298,9427,1808849,7.5957,5.7134,10.0981,0.0000,True
THINKING ABNORMAL,4,1298,987,1808849,6.3854,2.5253,16.1462,0.0001,True
TREATMENT NONCOMPLIANCE,33,1298,6651,1808849,7.2031,5.1068,10.1599,0.0000,True
HYPERHIDROSIS,43,1298,9315,1808849,6.7194,4.9631,9.0972,0.0000,True
CONSTIPATION,90,1298,23355,1808849,5.7432,4.6368,7.1136,0.0000,True
COLD SWEAT,6,1298,1326,1808849,6.8789,3.1768,14.8953,0.0000,True
"HALLUCINATION, VISUAL",10,1298,2151,1808849,6.8701,3.7373,12.6288,0.0000,True
GASTROOESOPHAGEAL REFLUX DISEASE,29,1298,7641,1808849,5.4944,3.8114,7.9205,0.0000,True
DRY MOUTH,33,1298,7446,1808849,6.4278,4.5576,9.0656,0.0000,True
VISION BLURRED,47,1298,11736,1808849,5.8310,4.3618,7.7950,0.0000,True
EXTRAPYRAMIDAL DISORDER,3,1298,898,1808849,5.4506,1.9052,15.5933,0.0016,True
MOVEMENT DISORDER,8,1298,2463,1808849,4.8420,2.4637,9.5159,0.0000,True
PRODUCT SUPPLY ISSUE,3,1298,1176,1808849,4.1587,1.4544,11.8917,0.0078,True
INCREASED APPETITE,5,1298,2257,1808849,3.4079,1.4734,7.8823,0.0042,True
SEDATION,10,1298,3381,1808849,4.3608,2.3735,8.0118,0.0000,True
AGGRESSION,11,1298,3127,1808849,5.1716,2.8909,9.2516,0.0000,True
RETCHING,5,1298,1847,1808849,4.1671,1.8012,9.6407,0.0009,True
ADVERSE EVENT,24,1298,7182,1808849,4.8347,3.2394,7.2157,0.0000,True
ABNORMAL BEHAVIOUR,4,1298,1658,1808849,3.7943,1.5019,9.5862,0.0048,True
TACHYCARDIA,17,1298,7474,1808849,3.2963,2.0555,5.2860,0.0000,True
HEART RATE INCREASED,19,1298,8426,1808849,3.2613,2.0842,5.1032,0.0000,True
SUICIDAL IDEATION,17,1298,6739,1808849,3.6581,2.2810,5.8666,0.0000,True
HYPERSOMNIA,6,1298,2428,1808849,3.7474,1.7321,8.1075,0.0008,True
DYSKINESIA,6,1298,2949,1808849,3.0832,1.4253,6.6693,0.0042,True
GASTROINTESTINAL DISORDER,28,1298,12600,1808849,3.2026,2.2085,4.6442,0.0000,True
PRODUCT ADMINISTRATION ERROR,6,1298,2768,1808849,3.2855,1.5188,7.1074,0.0025,True
AGITATION,8,1298,4544,1808849,2.6178,1.3327,5.1421,0.0052,True
THERAPEUTIC RESPONSE UNEXPECTED,5,1298,2971,1808849,2.5866,1.1186,5.9813,0.0263,True
TREMOR,18,1298,11522,1808849,2.2555,1.4248,3.5705,0.0005,True
SOMNOLENCE,32,1298,16224,1808849,2.8389,2.0035,4.0227,0.0000,True
HALLUCINATION,12,1298,7507,1808849,2.3334,1.3362,4.0749,0.0029,True
ABDOMINAL DISCOMFORT,24,1298,15919,1808849,2.1667,1.4523,3.2326,0.0002,True
DYSPHAGIA,13,1298,8073,1808849,2.3445,1.3708,4.0099,0.0019,True
