pt,a,n_drug,n_reaction,N,ror,ror_lower95,ror_upper95,ror_pvalue,signal
AMPHETAMINES POSITIVE,1,173,6,610371,,,,,False
VIOLENCE-RELATED SYMPTOM,1,173,29,610371,,,,,False
DROOLING,3,173,257,610371,49.1979,16.9519,142.7826,0.0000,True
URINARY RETENTION,11,173,1545,610371,28.0708,15.4030,51.1571,0.0000,True
SOLILOQUY,1,173,61,610371,,,,,False
SALIVARY HYPERSECRETION,2,173,437,610371,,,,,False
"HALLUCINATION, AUDITORY",8,173,608,610371,52.1377,26.0479,104.3593,0.0000,True
SCHIZOAFFECTIVE DISORDER,2,173,101,610371,,,,,False
PSYCHIATRIC DECOMPENSATION,3,173,209,610371,60.6385,20.8595,176.2754,0.0000,True
INTRUSIVE THOUGHTS,2,173,98,610371,,,,,False
TACHYPHRENIA,0,173,84,610371,,,,,False
VOMITING PROJECTILE,0,173,129,610371,,,,,False
PSYCHOTIC DISORDER,14,173,1543,610371,36.1776,21.0836,62.0776,0.0000,True
MANIA,6,173,660,610371,36.1405,16.4467,79.4164,0.0000,True
NEGATIVE THOUGHTS,1,173,85,610371,,,,,False
PARANOIA,2,173,621,610371,,,,,False
SCHIZOPHRENIA,5,173,1010,610371,19.7759,8.4396,46.3393,0.0000,True
SEDATION COMPLICATION,0,173,240,610371,,,,,False
AKATHISIA,0,173,527,610371,,,,,False
ANURIA,0,173,500,610371,,,,,False
ANGER,2,173,545,610371,,,,,False
VOMITING,27,173,22378,610371,4.9369,3.2844,7.4208,0.0000,True
DYSURIA,3,173,1244,610371,10.0689,3.4890,29.0577,0.0000,True
DYSPEPSIA,2,173,3916,610371,,,,,False
FEELING OF BODY TEMPERATURE CHANGE,0,173,137,610371,,,,,False
HYPERHIDROSIS,4,173,3330,610371,4.8434,1.8981,12.3589,0.0010,True
TREATMENT NONCOMPLIANCE,2,173,3073,610371,,,,,False
THINKING ABNORMAL,1,173,368,610371,,,,,False
NAUSEA,25,173,23557,610371,4.2809,2.8118,6.5176,0.0000,True
COLD SWEAT,1,173,497,610371,,,,,False
DRY MOUTH,3,173,3181,610371,3.9203,1.3597,11.3036,0.0114,True
CONSTIPATION,15,173,8190,610371,7.2011,4.2724,12.1376,0.0000,True
HICCUPS,1,173,287,610371,,,,,False
DELUSION,0,173,730,610371,,,,,False
VISION BLURRED,6,173,2644,610371,8.9357,4.0779,19.5807,0.0000,True
"HALLUCINATION, VISUAL",3,173,887,610371,14.1412,4.8973,40.8338,0.0000,True
GASTROOESOPHAGEAL REFLUX DISEASE,4,173,3049,610371,5.2928,2.0741,13.5063,0.0005,True
ABNORMAL BEHAVIOUR,4,173,744,610371,21.8505,8.5448,55.8759,0.0000,True
EXTRAPYRAMIDAL DISORDER,0,173,563,610371,,,,,False
MOVEMENT DISORDER,0,173,1300,610371,,,,,False
ADVERSE EVENT,1,173,2488,610371,,,,,False
SEDATION,1,173,833,610371,,,,,False
HEART RATE INCREASED,4,173,3516,610371,4.5855,1.7971,11.7005,0.0014,True
PRODUCT SUPPLY ISSUE,0,173,425,610371,,,,,False
INCREASED APPETITE,0,173,387,610371,,,,,False
URINARY INCONTINENCE,1,173,1077,610371,,,,,False
AGGRESSION,1,173,1522,610371,,,,,False
AGITATION,2,173,2643,610371,,,,,False
APATHY,0,173,566,610371,,,,,False
DYSKINESIA,0,173,1594,610371,,,,,False
RETCHING,1,173,585,610371,,,,,False
HYPERSOMNIA,0,173,853,610371,,,,,False
TACHYCARDIA,4,173,5107,610371,3.1477,1.2339,8.0303,0.0164,True
THERAPEUTIC RESPONSE UNEXPECTED,1,173,315,610371,,,,,False
HALLUCINATION,7,173,2767,610371,9.9120,4.7643,20.6215,0.0000,True
SUICIDAL IDEATION,7,173,3350,610371,8.1758,3.9305,17.0066,0.0000,True
SOMNOLENCE,3,173,6340,610371,1.9560,0.6786,5.6381,0.2142,False
GASTROINTESTINAL DISORDER,1,173,5982,610371,,,,,False
TREMOR,2,173,4805,610371,,,,,False
NIGHT SWEATS,0,173,2074,610371,,,,,False
ABDOMINAL DISCOMFORT,5,173,5823,610371,3.3905,1.4496,7.9299,0.0049,True
IRRITABILITY,1,173,1070,610371,,,,,False
ANGIOEDEMA,2,173,1595,610371,,,,,False
DYSPHAGIA,4,173,3923,610371,4.1066,1.6095,10.4779,0.0031,True
