pt,cumulative_through,n_quarters,a,n_drug,N,ror,ror_lower95,ror_upper95,signal
NAUSEA,2024Q4,1,39,156,339554,9.8016,6.8317,14.0627,True
VOMITING,2024Q4,1,34,156,339554,12.8294,8.7868,18.7318,True
CONSTIPATION,2024Q4,1,12,156,339554,7.6899,4.3110,13.7172,True
URINARY RETENTION,2024Q4,1,12,156,339554,61.2714,34.1426,109.9561,True
DYSPEPSIA,2024Q4,1,2,156,339554,,,,False
DRY MOUTH,2024Q4,1,5,156,339554,9.4893,4.0456,22.2580,True
TACHYCARDIA,2024Q4,1,7,156,339554,12.2125,5.8541,25.4770,True
DROOLING,2024Q4,1,5,156,339554,108.5224,45.4451,259.1506,True
HYPERHIDROSIS,2024Q4,1,5,156,339554,6.8684,2.9296,16.1026,True
VISION BLURRED,2024Q4,1,12,156,339554,14.4301,8.0834,25.7599,True
AKATHISIA,2024Q4,1,1,156,339554,,,,False
TREMOR,2024Q4,1,3,156,339554,3.5426,1.2269,10.2292,True
NAUSEA,2025Q1,2,110,481,673000,8.4774,6.8525,10.4877,True
VOMITING,2025Q1,2,90,481,673000,10.2260,8.1315,12.8599,True
CONSTIPATION,2025Q1,2,37,481,673000,7.2550,5.1947,10.1324,True
URINARY RETENTION,2025Q1,2,27,481,673000,41.3980,28.0300,61.1414,True
DYSPEPSIA,2025Q1,2,11,481,673000,5.2926,2.9454,9.5103,True
DRY MOUTH,2025Q1,2,15,481,673000,8.3846,5.0477,13.9277,True
TACHYCARDIA,2025Q1,2,10,481,673000,5.5318,2.9975,10.2088,True
DROOLING,2025Q1,2,12,481,673000,76.9851,43.2667,136.9807,True
HYPERHIDROSIS,2025Q1,2,15,481,673000,6.6043,3.9771,10.9671,True
VISION BLURRED,2025Q1,2,19,481,673000,6.9033,4.3835,10.8716,True
AKATHISIA,2025Q1,2,1,481,673000,,,,False
TREMOR,2025Q1,2,6,481,673000,2.0941,0.9652,4.5436,False
NAUSEA,2025Q2,3,163,775,1011371,7.6223,6.4122,9.0607,True
VOMITING,2025Q2,3,146,775,1011371,10.3455,8.6388,12.3893,True
CONSTIPATION,2025Q2,3,54,775,1011371,6.4779,4.9158,8.5364,True
URINARY RETENTION,2025Q2,3,48,775,1011371,44.5957,33.2021,59.8991,True
DYSPEPSIA,2025Q2,3,26,775,1011371,7.6613,5.1950,11.2984,True
DRY MOUTH,2025Q2,3,21,775,1011371,7.3716,4.7961,11.3303,True
TACHYCARDIA,2025Q2,3,14,775,1011371,4.7049,2.7958,7.9179,True
DROOLING,2025Q2,3,20,775,1011371,75.6195,48.1860,118.6715,True
HYPERHIDROSIS,2025Q2,3,22,775,1011371,6.0622,3.9821,9.2288,True
VISION BLURRED,2025Q2,3,27,775,1011371,6.0867,4.1566,8.9129,True
AKATHISIA,2025Q2,3,2,775,1011371,,,,False
TREMOR,2025Q2,3,10,775,1011371,2.1500,1.1688,3.9550,True
NAUSEA,2025Q3,4,244,1093,1423569,7.7768,6.7438,8.9680,True
VOMITING,2025Q3,4,194,1093,1423569,9.2475,7.9167,10.8020,True
CONSTIPATION,2025Q3,4,84,1093,1423569,6.5974,5.2816,8.2411,True
URINARY RETENTION,2025Q3,4,70,1093,1423569,44.4381,34.7842,56.7712,True
DYSPEPSIA,2025Q3,4,36,1093,1423569,6.8772,4.9402,9.5736,True
DRY MOUTH,2025Q3,4,26,1093,1423569,6.1298,4.1655,9.0202,True
TACHYCARDIA,2025Q3,4,17,1093,1423569,4.0496,2.5233,6.4990,True
DROOLING,2025Q3,4,25,1093,1423569,65.0725,43.5316,97.2725,True
HYPERHIDROSIS,2025Q3,4,39,1093,1423569,7.2933,5.3041,10.0286,True
VISION BLURRED,2025Q3,4,39,1093,1423569,5.8305,4.2409,8.0158,True
AKATHISIA,2025Q3,4,5,1093,1423569,9.5719,4.1286,22.1922,True
TREMOR,2025Q3,4,15,1093,1423569,2.2649,1.3712,3.7410,True
NAUSEA,2025Q4,5,314,1423,1808846,7.5438,6.6543,8.5521,True
VOMITING,2025Q4,5,239,1423,1808846,8.4434,7.3462,9.7044,True
CONSTIPATION,2025Q4,5,110,1423,1808846,6.4570,5.3153,7.8439,True
URINARY RETENTION,2025Q4,5,92,1423,1808846,44.0263,35.5469,54.5283,True
DYSPEPSIA,2025Q4,5,51,1423,1808846,7.1954,5.4440,9.5103,True
DRY MOUTH,2025Q4,5,35,1423,1808846,6.2094,4.4467,8.6710,True
TACHYCARDIA,2025Q4,5,22,1423,1808846,3.8775,2.5550,5.8845,True
DROOLING,2025Q4,5,30,1423,1808846,60.9800,42.2505,88.0121,True
HYPERHIDROSIS,2025Q4,5,46,1423,1808846,6.5484,4.8855,8.7773,True
VISION BLURRED,2025Q4,5,50,1423,1808846,5.6496,4.2638,7.4859,True
AKATHISIA,2025Q4,5,7,1423,1808846,10.4250,5.0719,21.4282,True
TREMOR,2025Q4,5,23,1423,1808846,2.6206,1.7424,3.9412,True
