pt,sex,a,n_drug,n_reaction,N,ror,ror_lower95,ror_upper95,ror_pvalue,signal
AMPHETAMINES POSITIVE,Female,0,442,5,875461,,,,,False
VIOLENCE-RELATED SYMPTOM,Female,1,442,21,875461,,,,,False
DROOLING,Female,18,442,283,875461,143.5872,88.7775,232.2354,0.0000,True
URINARY RETENTION,Female,28,442,1127,875461,54.6509,37.2194,80.2462,0.0000,True
TACHYPHRENIA,Female,1,442,125,875461,,,,,False
"HALLUCINATION, AUDITORY",Female,10,442,627,875461,34.3778,18.5446,63.7291,0.0000,True
SALIVARY HYPERSECRETION,Female,8,442,385,875461,45.3255,22.8190,90.0303,0.0000,True
VOMITING PROJECTILE,Female,3,442,248,875461,28.3762,9.8385,81.8421,0.0000,True
INTRUSIVE THOUGHTS,Female,0,442,125,875461,,,,,False
NEGATIVE THOUGHTS,Female,0,442,144,875461,,,,,False
PSYCHOTIC DISORDER,Female,6,442,975,875461,13.4251,6.1724,29.1998,0.0000,True
PARANOIA,Female,4,442,486,875461,18.6005,7.3172,47.2829,0.0000,True
SEDATION COMPLICATION,Female,0,442,169,875461,,,,,False
MANIA,Female,4,442,549,875461,16.4511,6.4748,41.7985,0.0000,True
AKATHISIA,Female,4,442,448,875461,20.1915,7.9402,51.3460,0.0000,True
ANGER,Female,3,442,849,875461,8.2239,2.8664,23.5950,0.0001,True
SCHIZOPHRENIA,Female,2,442,505,875461,,,,,False
VOMITING,Female,96,442,26139,875461,9.0786,7.2426,11.3801,0.0000,True
ANURIA,Female,1,442,266,875461,,,,,False
HICCUPS,Female,2,442,192,875461,,,,,False
DELUSION,Female,1,442,546,875461,,,,,False
DYSURIA,Female,5,442,1172,875461,9.4095,4.0502,21.8600,0.0000,True
NAUSEA,Female,114,442,41650,875461,6.9942,5.6527,8.6540,0.0000,True
DYSPEPSIA,Female,21,442,5991,875461,7.4246,4.8100,11.4604,0.0000,True
THINKING ABNORMAL,Female,2,442,542,875461,,,,,False
TREATMENT NONCOMPLIANCE,Female,10,442,3075,875461,6.9055,3.7402,12.7498,0.0000,True
HYPERHIDROSIS,Female,13,442,4607,875461,5.9548,3.4613,10.2444,0.0000,True
CONSTIPATION,Female,42,442,12794,875461,7.1752,5.2276,9.8484,0.0000,True
COLD SWEAT,Female,2,442,664,875461,,,,,False
"HALLUCINATION, VISUAL",Female,4,442,947,875461,9.5072,3.7478,24.1170,0.0000,True
GASTROOESOPHAGEAL REFLUX DISEASE,Female,17,442,4898,875461,7.3312,4.5414,11.8346,0.0000,True
DRY MOUTH,Female,9,442,4685,875461,4.0785,2.1431,7.7618,0.0000,True
VISION BLURRED,Female,16,442,7001,875461,4.8073,2.9383,7.8654,0.0000,True
EXTRAPYRAMIDAL DISORDER,Female,0,442,340,875461,,,,,False
MOVEMENT DISORDER,Female,1,442,1398,875461,,,,,False
PRODUCT SUPPLY ISSUE,Female,0,442,654,875461,,,,,False
INCREASED APPETITE,Female,5,442,1252,875461,8.8053,3.7906,20.4537,0.0000,True
SEDATION,Female,3,442,1843,875461,3.7781,1.3184,10.8271,0.0133,True
AGGRESSION,Female,0,442,957,875461,,,,,False
RETCHING,Female,1,442,1106,875461,,,,,False
ADVERSE EVENT,Female,3,442,2933,875461,2.3699,0.8273,6.7890,0.1081,False
ABNORMAL BEHAVIOUR,Female,0,442,614,875461,,,,,False
TACHYCARDIA,Female,8,442,3982,875461,4.2873,2.1731,8.4587,0.0000,True
HEART RATE INCREASED,Female,7,442,5040,875461,2.9766,1.4454,6.1296,0.0031,True
SUICIDAL IDEATION,Female,6,442,3496,875461,3.7181,1.7126,8.0721,0.0009,True
HYPERSOMNIA,Female,1,442,1236,875461,,,,,False
DYSKINESIA,Female,1,442,1507,875461,,,,,False
GASTROINTESTINAL DISORDER,Female,7,442,7484,875461,1.9981,0.9704,4.1139,0.0603,False
PRODUCT ADMINISTRATION ERROR,Female,0,442,1410,875461,,,,,False
AGITATION,Female,3,442,1954,875461,3.5628,1.2433,10.2094,0.0180,True
THERAPEUTIC RESPONSE UNEXPECTED,Female,1,442,1456,875461,,,,,False
TREMOR,Female,13,442,6461,875461,4.2337,2.4615,7.2819,0.0000,True
SOMNOLENCE,Female,17,442,8212,875461,4.3500,2.6956,7.0199,0.0000,True
HALLUCINATION,Female,2,442,3197,875461,,,,,False
ABDOMINAL DISCOMFORT,Female,7,442,9769,875461,1.5264,0.7414,3.1424,0.2510,False
DYSPHAGIA,Female,4,442,4103,875461,2.1802,0.8609,5.5212,0.1002,False
AMPHETAMINES POSITIVE,Male,3,656,10,594902,424.3485,119.0393,1512.7075,0.0000,True
VIOLENCE-RELATED SYMPTOM,Male,2,656,22,594902,,,,,False
DROOLING,Male,9,656,304,594902,29.4902,15.3855,56.5252,0.0000,True
URINARY RETENTION,Male,56,656,1282,594902,45.4923,34.4360,60.0984,0.0000,True
TACHYPHRENIA,Male,3,656,68,594902,48.5848,16.5318,142.7842,0.0000,True
"HALLUCINATION, AUDITORY",Male,11,656,544,594902,19.8264,10.9986,35.7397,0.0000,True
SALIVARY HYPERSECRETION,Male,4,656,366,594902,11.2986,4.4453,28.7178,0.0000,True
VOMITING PROJECTILE,Male,1,656,72,594902,,,,,False
INTRUSIVE THOUGHTS,Male,3,656,71,594902,46.4567,15.8266,136.3675,0.0000,True
NEGATIVE THOUGHTS,Male,3,656,72,594902,45.7882,15.6047,134.3548,0.0000,True
PSYCHOTIC DISORDER,Male,13,656,980,594902,12.8645,7.4767,22.1350,0.0000,True
PARANOIA,Male,7,656,526,594902,13.1973,6.3922,27.2470,0.0000,True
SEDATION COMPLICATION,Male,0,656,89,594902,,,,,False
MANIA,Male,4,656,345,594902,11.9939,4.7172,30.4955,0.0000,True
AKATHISIA,Male,2,656,341,594902,,,,,False
ANGER,Male,9,656,744,594902,11.8394,6.2140,22.5573,0.0000,True
SCHIZOPHRENIA,Male,5,656,642,594902,7.8608,3.3839,18.2606,0.0000,True
VOMITING,Male,96,656,10183,594902,9.9701,8.0259,12.3852,0.0000,True
ANURIA,Male,2,656,226,594902,,,,,False
HICCUPS,Male,2,656,425,594902,,,,,False
DELUSION,Male,7,656,763,594902,9.0591,4.3949,18.6736,0.0000,True
DYSURIA,Male,8,656,1133,594902,6.9073,3.5022,13.6231,0.0000,True
NAUSEA,Male,124,656,14137,594902,9.6807,7.9590,11.7749,0.0000,True
DYSPEPSIA,Male,24,656,2091,594902,11.0946,7.3934,16.6489,0.0000,True
THINKING ABNORMAL,Male,3,656,319,594902,10.0504,3.4952,28.9001,0.0000,True
TREATMENT NONCOMPLIANCE,Male,17,656,2727,594902,5.9721,3.7088,9.6167,0.0000,True
HYPERHIDROSIS,Male,24,656,3246,594902,7.1042,4.7381,10.6520,0.0000,True
CONSTIPATION,Male,51,656,6985,594902,7.2036,5.4146,9.5836,0.0000,True
COLD SWEAT,Male,3,656,479,594902,6.6739,2.3254,19.1538,0.0004,True
"HALLUCINATION, VISUAL",Male,4,656,989,594902,4.1517,1.6393,10.5144,0.0027,True
GASTROOESOPHAGEAL REFLUX DISEASE,Male,17,656,1732,594902,9.4519,5.8647,15.2331,0.0000,True
DRY MOUTH,Male,23,656,1603,594902,13.9103,9.1883,21.0590,0.0000,True
VISION BLURRED,Male,25,656,3224,594902,7.4595,5.0131,11.0995,0.0000,True
EXTRAPYRAMIDAL DISORDER,Male,2,656,441,594902,,,,,False
MOVEMENT DISORDER,Male,6,656,813,594902,7.3434,3.3808,15.9505,0.0000,True
PRODUCT SUPPLY ISSUE,Male,3,656,410,594902,7.8048,2.7177,22.4141,0.0001,True
INCREASED APPETITE,Male,3,656,714,594902,4.4678,1.5587,12.8062,0.0053,True
SEDATION,Male,4,656,1236,594902,3.3183,1.3108,8.4002,0.0114,True
AGGRESSION,Male,10,656,1756,594902,5.5099,2.9891,10.1564,0.0000,True
RETCHING,Male,4,656,509,594902,8.1004,3.1921,20.5558,0.0000,True
ADVERSE EVENT,Male,5,656,2079,594902,2.4098,1.0400,5.5841,0.0402,True
ABNORMAL BEHAVIOUR,Male,4,656,835,594902,4.9219,1.9427,12.4698,0.0008,True
TACHYCARDIA,Male,11,656,2300,594902,4.6063,2.5674,8.2645,0.0000,True
HEART RATE INCREASED,Male,13,656,2158,594902,5.7897,3.3716,9.9418,0.0000,True
SUICIDAL IDEATION,Male,7,656,2337,594902,2.9329,1.4262,6.0312,0.0034,True
HYPERSOMNIA,Male,2,656,797,594902,,,,,False
DYSKINESIA,Male,4,656,1130,594902,3.6311,1.4342,9.1937,0.0065,True
GASTROINTESTINAL DISORDER,Male,12,656,2971,594902,3.8750,2.2115,6.7898,0.0000,True
PRODUCT ADMINISTRATION ERROR,Male,5,656,898,594902,5.6062,2.4158,13.0097,0.0001,True
AGITATION,Male,7,656,1884,594902,3.6433,1.7712,7.4942,0.0004,True
THERAPEUTIC RESPONSE UNEXPECTED,Male,5,656,784,594902,6.4273,2.7686,14.9208,0.0000,True
TREMOR,Male,8,656,3593,594902,2.1592,1.0967,4.2512,0.0259,True
SOMNOLENCE,Male,13,656,5248,594902,2.3602,1.3758,4.0489,0.0018,True
HALLUCINATION,Male,10,656,3590,594902,2.6793,1.4549,4.9342,0.0016,True
ABDOMINAL DISCOMFORT,Male,19,656,3785,594902,4.7954,3.0524,7.5336,0.0000,True
DYSPHAGIA,Male,7,656,2797,594902,2.4475,1.1904,5.0321,0.0149,True
