pt,a,ror,ror_lower95,ror_upper95,n_methods_signal,disease_manifestation,classification,disease_reason
NAUSEA,365,6.8721,6.1231,7.7127,4,False,Pharmacological signal,
VOMITING,297,8.5190,7.5182,9.6531,4,False,Pharmacological signal,
CONSTIPATION,134,6.3889,5.3564,7.6203,4,False,Pharmacological signal,
URINARY RETENTION,112,43.9422,36.1937,53.3496,4,False,Pharmacological signal,
VISION BLURRED,68,6.2431,4.9005,7.9535,4,False,Pharmacological signal,
HYPERHIDROSIS,62,7.3998,5.7447,9.5316,4,False,Pharmacological signal,
DYSPEPSIA,65,7.4959,5.8523,9.6012,4,False,Pharmacological signal,
DRY MOUTH,45,6.4921,4.8329,8.7210,4,False,Pharmacological signal,
DROOLING,38,63.6432,45.8805,88.2828,4,False,Pharmacological signal,
GASTROOESOPHAGEAL REFLUX DISEASE,42,5.8817,4.3353,7.9796,4,False,Pharmacological signal,
TREATMENT NONCOMPLIANCE,43,6.9964,5.1740,9.4606,4,False,Pharmacological signal,
DYSURIA,20,7.7962,5.0371,12.0664,4,False,Pharmacological signal,
AGITATION,16,3.8039,2.3408,6.1816,4,True,Disease manifestation,Behavioural symptom of schizophrenia
SALIVARY HYPERSECRETION,23,29.1452,19.3085,43.9930,4,False,Pharmacological signal,
TACHYCARDIA,24,3.4166,2.2918,5.0935,4,False,Pharmacological signal,
"HALLUCINATION, AUDITORY",32,25.8781,18.2260,36.7430,4,True,Disease manifestation,Core positive symptom of schizophrenia
PSYCHOTIC DISORDER,33,15.9632,11.3162,22.5186,4,True,Disease manifestation,Primary diagnosis / disease worsening
ADVERSE EVENT,34,4.9842,3.5559,6.9863,4,False,Pharmacological signal,
HEART RATE INCREASED,35,4.0054,2.8714,5.5874,4,False,Pharmacological signal,
ANGER,15,8.6434,5.2331,14.2760,4,True,Disease manifestation,Behavioural symptom of schizophrenia
MANIA,15,15.4284,9.3285,25.5171,4,True,Disease manifestation,Mood episode / schizoaffective overlap
INTRUSIVE THOUGHTS,4,22.1231,8.6989,56.2634,4,True,Disease manifestation,Cognitive symptom overlap
VIOLENCE-RELATED SYMPTOM,3,64.5268,22.0030,189.2330,4,True,Disease manifestation,Behavioural symptom of schizophrenia
NEGATIVE THOUGHTS,3,14.8720,5.1781,42.7138,4,True,Disease manifestation,Negative/cognitive symptom
AKATHISIA,8,9.5527,4.8565,18.7901,4,False,Pharmacological signal,
VOMITING PROJECTILE,6,18.6263,8.5726,40.4704,4,False,Pharmacological signal,
THINKING ABNORMAL,6,6.9109,3.1923,14.9612,4,True,Disease manifestation,Cognitive symptom of schizophrenia
ABNORMAL BEHAVIOUR,9,5.8106,3.0666,11.0102,4,True,Disease manifestation,Behavioural symptom of schizophrenia
DELUSION,8,6.2816,3.1963,12.3448,4,True,Disease manifestation,Core positive symptom of schizophrenia
COLD SWEAT,8,6.8686,3.4945,13.5007,4,False,Pharmacological signal,
MOVEMENT DISORDER,11,4.9887,2.7903,8.9193,4,False,Pharmacological signal,
"HALLUCINATION, VISUAL",12,5.9997,3.4350,10.4793,4,True,Disease manifestation,Positive symptom of schizophrenia
SCHIZOAFFECTIVE DISORDER,3,24.1736,8.3836,69.7026,4,False,Pharmacological signal,
SOLILOQUY,3,37.1509,12.8140,107.7094,4,False,Pharmacological signal,
AMPHETAMINES POSITIVE,3,190.7163,61.7819,588.7278,4,True,Disease manifestation,Substance use comorbidity marker
TACHYPHRENIA,4,20.1815,7.9412,51.2885,4,True,Disease manifestation,Thought acceleration (psychotic feature)
PSYCHIATRIC DECOMPENSATION,4,22.9511,9.0217,58.3872,4,False,Pharmacological signal,
SCHIZOPHRENIA,13,11.7275,6.8477,20.0848,4,True,Disease manifestation,Primary diagnosis itself
PARANOIA,13,12.3367,7.2024,21.1309,4,True,Disease manifestation,Core positive symptom of schizophrenia
SEDATION,13,4.3087,2.5199,7.3675,4,False,Pharmacological signal,
DYSKINESIA,10,3.6622,1.9947,6.7238,4,False,Pharmacological signal,
HICCUPS,4,6.3757,2.5218,16.1194,4,False,Pharmacological signal,
