masked_by,pt,a_original,a_adjusted,ror_original,ror_adjusted,ror_lower95_adjusted,ror_change_pct,unmasked
NAUSEA,DIZZINESS,61,39,1.9884,1.6255,1.1830,-18.2525,True
NAUSEA,ABDOMINAL PAIN UPPER,28,22,1.9250,1.9501,1.2843,1.3047,True
NAUSEA,ANGIOEDEMA,6,6,2.2153,2.8457,1.3153,28.4562,True
NAUSEA,INSOMNIA,28,25,1.8510,2.1311,1.4386,15.1313,True
NAUSEA,ORTHOSTATIC HYPOTENSION,3,3,3.6020,4.6242,1.6169,28.3790,True
NAUSEA,MUSCLE TWITCHING,3,3,2.8642,3.6770,1.2861,28.3776,True
NAUSEA,BLEPHAROSPASM,3,3,3.5418,4.5469,1.5899,28.3775,True
NAUSEA,OFF LABEL USE,97,82,0.9074,0.9913,0.7921,9.2426,False
NAUSEA,ADVERSE DRUG REACTION,9,9,1.1477,1.4751,0.7787,28.5292,False
NAUSEA,PALPITATIONS,10,7,1.4923,1.3666,0.6662,-8.4230,False
NAUSEA,CONFUSIONAL STATE,12,9,1.2804,1.2481,0.6588,-2.5255,False
NAUSEA,ABDOMINAL PAIN,14,5,0.8521,0.4124,0.1784,-51.5966,False
NAUSEA,FEELING ABNORMAL,13,10,1.1596,1.1571,0.6300,-0.2191,False
NAUSEA,WEIGHT DECREASED,23,18,1.1960,1.2081,0.7629,1.0082,False
NAUSEA,HYPERTENSION,18,16,1.2283,1.4081,0.8658,14.6350,False
NAUSEA,BLOOD PRESSURE INCREASED,15,13,1.4725,1.6474,0.9629,11.8792,False
NAUSEA,DECREASED APPETITE,16,9,0.9182,0.6761,0.3569,-26.3643,False
NAUSEA,CHEST PAIN,16,15,1.5950,1.9268,1.1667,20.8017,True
NAUSEA,DYSPHONIA,6,3,1.5407,1.0628,0.3720,-31.0205,False
NAUSEA,BRAIN FOG,7,5,1.5245,1.4338,0.6201,-5.9492,False
NAUSEA,DRUG INTOLERANCE,9,5,1.2260,0.9090,0.3932,-25.8573,False
NAUSEA,DEHYDRATION,9,4,1.2219,0.7406,0.2933,-39.3935,False
NAUSEA,CHILLS,8,6,1.1701,1.1478,0.5307,-1.9100,False
NAUSEA,THERAPY NON-RESPONDER,8,8,1.5779,2.0277,1.0321,28.5041,True
NAUSEA,MUSCULAR WEAKNESS,8,7,1.1332,1.2837,0.6259,13.2824,False
NAUSEA,LETHARGY,4,4,1.4198,1.8231,0.7220,28.4077,False
NAUSEA,INTESTINAL OBSTRUCTION,5,4,1.5321,1.6085,0.6370,4.9849,False
NAUSEA,NIGHT SWEATS,5,3,1.8538,1.5123,0.5293,-18.4211,False
NAUSEA,COMPLETED SUICIDE,5,5,1.7960,2.3066,0.9974,28.4324,False
