period,pt,n,ror,ror_lower95,ror_upper95,signal
early (Q4'24–Q1'25),NAUSEA,109,8.5142,6.8770,10.5410,True
early (Q4'24–Q1'25),VOMITING,89,10.3143,8.1931,12.9846,True
early (Q4'24–Q1'25),CONSTIPATION,37,7.4548,5.3375,10.4121,True
early (Q4'24–Q1'25),URINARY RETENTION,26,39.6141,26.6427,58.9008,True
early (Q4'24–Q1'25),TACHYCARDIA,10,5.5472,3.0058,10.2375,True
early (Q4'24–Q1'25),DROOLING,12,77.4550,43.5220,137.8447,True
early (Q4'24–Q1'25),DRY MOUTH,14,7.9105,4.6838,13.3600,True
early (Q4'24–Q1'25),DYSPEPSIA,11,5.4619,3.0394,9.8149,True
early (Q4'24–Q1'25),VISION BLURRED,19,6.9551,4.4162,10.9535,True
early (Q4'24–Q1'25),HYPERHIDROSIS,15,6.6580,4.0093,11.0567,True
early (Q4'24–Q1'25),AKATHISIA,0,,,,False
early (Q4'24–Q1'25),TREMOR,6,2.1097,0.9724,4.5776,False
late (Q2'25–Q1'26),NAUSEA,256,6.3081,5.4998,7.2352,True
late (Q2'25–Q1'26),VOMITING,208,7.8941,6.8030,9.1600,True
late (Q2'25–Q1'26),CONSTIPATION,97,6.0295,4.9021,7.4161,True
late (Q2'25–Q1'26),URINARY RETENTION,86,45.5482,36.4821,56.8673,True
late (Q2'25–Q1'26),TACHYCARDIA,14,2.7404,1.6321,4.6015,True
late (Q2'25–Q1'26),DROOLING,26,59.5755,40.1708,88.3538,True
late (Q2'25–Q1'26),DRY MOUTH,31,6.0659,4.2554,8.6467,True
late (Q2'25–Q1'26),DYSPEPSIA,54,8.1468,6.2053,10.6957,True
late (Q2'25–Q1'26),VISION BLURRED,49,6.0295,4.5351,8.0164,True
late (Q2'25–Q1'26),HYPERHIDROSIS,47,7.7625,5.8042,10.3816,True
late (Q2'25–Q1'26),AKATHISIA,7,11.0953,5.3943,22.8215,True
late (Q2'25–Q1'26),TREMOR,21,2.6802,1.7491,4.1069,True
