drug_b,pt,ror,ror_lower95,ror_upper95,a_cobenfy,n_cobenfy,a_comparator,n_comparator,p_value,bonferroni_sig
olanzapine,NAUSEA,7.1967,6.0368,8.5794,314,1423,262,6926,0.0000,True
olanzapine,VOMITING,4.3975,3.6723,5.2659,239,1423,304,6926,0.0000,True
olanzapine,CONSTIPATION,3.7122,2.8866,4.7741,110,1423,153,6926,0.0000,True
olanzapine,DYSPEPSIA,7.2842,4.7315,11.2141,51,1423,35,6926,0.0000,True
olanzapine,DIARRHOEA,1.2795,0.8553,1.9142,30,1423,116,6926,0.2304,False
olanzapine,TACHYCARDIA,0.5771,0.3712,0.8969,22,1423,187,6926,0.0146,False
olanzapine,HYPERTENSION,0.9725,0.5884,1.6074,18,1423,92,6926,0.9135,False
olanzapine,BLOOD PRESSURE INCREASED,7.2489,3.3047,15.9003,15,1423,10,6926,0.0000,True
olanzapine,WEIGHT INCREASED,0.1115,0.0603,0.2063,10,1423,432,6926,0.0000,True
olanzapine,HYPERGLYCAEMIA,0.0769,0.0047,1.2573,0,1423,31,6926,0.0720,False
olanzapine,DIABETES MELLITUS,0.0405,0.0025,0.6561,0,1423,59,6926,0.0240,False
olanzapine,METABOLIC SYNDROME,0.0597,0.0037,0.9719,0,1423,40,6926,0.0477,False
olanzapine,BLOOD GLUCOSE INCREASED,0.1887,0.0369,0.9651,1,1423,38,6926,0.0452,False
olanzapine,DYSLIPIDAEMIA,0.0850,0.0052,1.3935,0,1423,28,6926,0.0841,False
olanzapine,DYSTONIA,0.0394,0.0079,0.1968,1,1423,180,6926,0.0001,True
olanzapine,AKATHISIA,0.1946,0.0935,0.4047,7,1423,183,6926,0.0000,True
olanzapine,PARKINSONISM,0.0599,0.0172,0.2089,2,1423,197,6926,0.0000,True
olanzapine,TARDIVE DYSKINESIA,0.0688,0.0137,0.3454,1,1423,104,6926,0.0011,False
olanzapine,EXTRAPYRAMIDAL DISORDER,0.0694,0.0241,0.1997,3,1423,237,6926,0.0000,True
olanzapine,TREMOR,0.5302,0.3449,0.8150,23,1423,212,6926,0.0038,False
olanzapine,HYPERPROLACTINAEMIA,0.0281,0.0017,0.4533,0,1423,85,6926,0.0118,False
olanzapine,GALACTORRHOEA,0.1183,0.0072,1.9578,0,1423,20,6926,0.1360,False
olanzapine,AMENORRHOEA,0.0794,0.0049,1.2996,0,1423,30,6926,0.0757,False
olanzapine,SOMNOLENCE,0.4677,0.3247,0.6736,32,1423,329,6926,0.0000,True
olanzapine,SEDATION,0.3254,0.1830,0.5788,12,1423,183,6926,0.0001,True
olanzapine,ELECTROCARDIOGRAM QT PROLONGED,0.0166,0.0010,0.2669,0,1423,143,6926,0.0038,False
olanzapine,URINARY RETENTION,6.5681,4.8029,8.9819,92,1423,72,6926,0.0000,True
olanzapine,DRY MOUTH,4.6972,2.9576,7.4599,35,1423,37,6926,0.0000,True
olanzapine,VISION BLURRED,4.4710,3.0455,6.5637,50,1423,56,6926,0.0000,True
olanzapine,INSOMNIA,0.8555,0.5721,1.2793,28,1423,161,6926,0.4473,False
olanzapine,HEADACHE,1.2834,0.8462,1.9466,28,1423,108,6926,0.2403,False
olanzapine,DIZZINESS,2.3326,1.7137,3.1750,61,1423,131,6926,0.0000,True
risperidone,NAUSEA,9.3789,7.7328,11.3754,314,1423,183,6254,0.0000,True
risperidone,VOMITING,7.2156,5.8721,8.8664,239,1423,170,6254,0.0000,True
risperidone,CONSTIPATION,5.8618,4.4043,7.8015,110,1423,88,6254,0.0000,True
risperidone,DYSPEPSIA,6.9686,4.4927,10.8089,51,1423,33,6254,0.0000,True
risperidone,DIARRHOEA,2.3184,1.4907,3.6055,30,1423,58,6254,0.0002,True
risperidone,TACHYCARDIA,1.1449,0.7174,1.8271,22,1423,86,6254,0.5706,False
risperidone,HYPERTENSION,2.3060,1.3107,4.0573,18,1423,35,6254,0.0037,False
risperidone,BLOOD PRESSURE INCREASED,10.5788,4.2255,26.4848,15,1423,6,6254,0.0000,True
risperidone,WEIGHT INCREASED,0.1031,0.0557,0.1907,10,1423,420,6254,0.0000,True
risperidone,HYPERGLYCAEMIA,0.2309,0.0134,3.9699,0,1423,9,6254,0.3125,False
risperidone,DIABETES MELLITUS,0.1184,0.0071,1.9661,0,1423,18,6254,0.1366,False
risperidone,METABOLIC SYNDROME,0.2309,0.0134,3.9699,0,1423,9,6254,0.3125,False
risperidone,BLOOD GLUCOSE INCREASED,0.1618,0.0317,0.8264,1,1423,40,6254,0.0286,False
risperidone,DYSLIPIDAEMIA,0.0973,0.0059,1.6049,0,1423,22,6254,0.1033,False
risperidone,DYSTONIA,0.0446,0.0089,0.2230,1,1423,144,6254,0.0002,True
risperidone,AKATHISIA,0.2223,0.1065,0.4642,7,1423,145,6254,0.0001,True
risperidone,PARKINSONISM,0.1159,0.0330,0.4075,2,1423,93,6254,0.0008,False
risperidone,TARDIVE DYSKINESIA,0.0996,0.0197,0.5033,1,1423,65,6254,0.0053,False
risperidone,EXTRAPYRAMIDAL DISORDER,0.0456,0.0159,0.1310,3,1423,320,6254,0.0000,True
risperidone,TREMOR,0.5712,0.3701,0.8816,23,1423,178,6254,0.0114,False
risperidone,HYPERPROLACTINAEMIA,0.0153,0.0010,0.2458,0,1423,140,6254,0.0032,False
risperidone,GALACTORRHOEA,0.0317,0.0020,0.5126,0,1423,68,6254,0.0151,False
risperidone,AMENORRHOEA,0.0717,0.0044,1.1730,0,1423,30,6254,0.0646,False
risperidone,SOMNOLENCE,0.5375,0.3715,0.7775,32,1423,260,6254,0.0010,False
risperidone,SEDATION,0.3279,0.1840,0.5844,12,1423,164,6254,0.0002,True
risperidone,ELECTROCARDIOGRAM QT PROLONGED,0.0308,0.0019,0.4978,0,1423,70,6254,0.0142,False
risperidone,URINARY RETENTION,6.6676,4.8251,9.2135,92,1423,64,6254,0.0000,True
