drug_a,drug_b,pt,a_cobenfy,n_cobenfy,pct_cobenfy,a_comparator,n_comparator,pct_comparator,ror,ror_lower95,ror_upper95,p_value,bonferroni_sig
xanomeline-trospium,olanzapine,NAUSEA,365,1758,20.7622,306,8055,3.7989,6.6317,5.6389,7.7992,0.0000,True
xanomeline-trospium,olanzapine,VOMITING,297,1758,16.8942,346,8055,4.2955,4.5291,3.8413,5.3400,0.0000,True
xanomeline-trospium,olanzapine,CONSTIPATION,134,1758,7.6223,185,8055,2.2967,3.5129,2.7958,4.4138,0.0000,True
xanomeline-trospium,olanzapine,DYSPEPSIA,65,1758,3.6974,38,8055,0.4718,8.0544,5.3911,12.0335,0.0000,True
xanomeline-trospium,olanzapine,DIARRHOEA,38,1758,2.1615,126,8055,1.5642,1.4027,0.9742,2.0196,0.0688,False
xanomeline-trospium,olanzapine,TACHYCARDIA,24,1758,1.3652,226,8055,2.8057,0.4883,0.3208,0.7432,0.0008,False
xanomeline-trospium,olanzapine,HYPERTENSION,25,1758,1.4221,115,8055,1.4277,1.0113,0.6566,1.5577,0.9593,False
xanomeline-trospium,olanzapine,BLOOD PRESSURE INCREASED,21,1758,1.1945,11,8055,0.1366,8.6560,4.2220,17.7463,0.0000,True
xanomeline-trospium,olanzapine,WEIGHT INCREASED,13,1758,0.7395,497,8055,6.1701,0.1175,0.0683,0.2023,0.0000,True
xanomeline-trospium,olanzapine,HYPERGLYCAEMIA,0,1758,0.0000,38,8055,0.4718,0.0592,0.0036,0.9643,0.0471,False
xanomeline-trospium,olanzapine,DIABETES MELLITUS,0,1758,0.0000,68,8055,0.8442,0.0332,0.0021,0.5357,0.0164,False
xanomeline-trospium,olanzapine,METABOLIC SYNDROME,0,1758,0.0000,47,8055,0.5835,0.0479,0.0030,0.7781,0.0326,False
xanomeline-trospium,olanzapine,BLOOD GLUCOSE INCREASED,2,1758,0.1138,48,8055,0.5959,0.2350,0.0658,0.8386,0.0257,False
xanomeline-trospium,olanzapine,DYSLIPIDAEMIA,0,1758,0.0000,31,8055,0.3849,0.0724,0.0044,1.1843,0.0656,False
xanomeline-trospium,olanzapine,DYSTONIA,1,1758,0.0569,208,8055,2.5822,0.0321,0.0064,0.1602,0.0000,True
xanomeline-trospium,olanzapine,AKATHISIA,8,1758,0.4551,214,8055,2.6567,0.1775,0.0893,0.3530,0.0000,True
xanomeline-trospium,olanzapine,PARKINSONISM,2,1758,0.1138,255,8055,3.1657,0.0435,0.0125,0.1512,0.0000,True
xanomeline-trospium,olanzapine,TARDIVE DYSKINESIA,2,1758,0.1138,138,8055,1.7132,0.0814,0.0233,0.2845,0.0001,True
xanomeline-trospium,olanzapine,EXTRAPYRAMIDAL DISORDER,4,1758,0.2275,267,8055,3.3147,0.0747,0.0294,0.1899,0.0000,True
xanomeline-trospium,olanzapine,TREMOR,27,1758,1.5358,225,8055,2.7933,0.5515,0.3699,0.8222,0.0035,False
xanomeline-trospium,olanzapine,HYPERPROLACTINAEMIA,0,1758,0.0000,86,8055,1.0677,0.0262,0.0016,0.4224,0.0102,False
xanomeline-trospium,olanzapine,GALACTORRHOEA,0,1758,0.0000,20,8055,0.2483,0.1115,0.0067,1.8437,0.1254,False
xanomeline-trospium,olanzapine,AMENORRHOEA,0,1758,0.0000,31,8055,0.3849,0.0724,0.0044,1.1843,0.0656,False
xanomeline-trospium,olanzapine,SOMNOLENCE,42,1758,2.3891,374,8055,4.6431,0.5079,0.3682,0.7005,0.0000,True
