pt,a,expected,ebgm_old,ebgm,eb05_old,eb05,n_methods_signal
AMPHETAMINES POSITIVE,3,0.0204,25.0677,120.6064,9.5618,29.2573,4
DROOLING,38,0.6480,50.2844,57.6766,38.2950,43.3879,4
URINARY RETENTION,112,2.8181,38.3165,39.2305,32.7300,33.4136,4
VIOLENCE-RELATED SYMPTOM,3,0.0563,19.7139,33.2779,7.3813,9.4705,4
SALIVARY HYPERSECRETION,23,0.8341,24.6644,25.5118,17.3604,17.7388,4
"HALLUCINATION, AUDITORY",32,1.3025,22.8642,23.2601,16.9867,17.1807,4
SOLILOQUY,3,0.0963,15.8118,19.1935,5.6809,6.5416,4
PSYCHOTIC DISORDER,33,2.1603,14.6899,14.7146,10.9640,10.9633,4
PSYCHIATRIC DECOMPENSATION,4,0.1991,13.8899,14.6750,5.8048,6.1040,4
INTRUSIVE THOUGHTS,4,0.2065,13.5560,14.2625,5.6403,5.9480,4
VOMITING PROJECTILE,6,0.3542,13.6547,13.8952,6.8213,6.8522,4
SCHIZOAFFECTIVE DISORDER,3,0.1469,12.4918,13.7671,4.0522,5.0025,4
MANIA,15,1.0234,13.5505,13.5811,8.7644,8.7425,4
TACHYPHRENIA,4,0.2261,12.7313,13.2926,5.2255,5.5744,4
PARANOIA,13,1.1107,10.9517,10.9291,6.8497,6.8143,4
SCHIZOPHRENIA,13,1.1679,10.4623,10.4341,6.5403,6.5072,4
NEGATIVE THOUGHTS,3,0.2375,8.7852,9.7000,2.3296,3.6201,4
AKATHISIA,8,0.8986,8.2030,8.2449,4.3427,4.5114,4
ANGER,15,1.8167,7.9660,7.9448,5.1156,5.1256,4
SEDATION COMPLICATION,3,0.3240,6.6094,7.6775,1.6960,2.8833,4
DYSURIA,20,2.6687,7.3222,7.3063,4.9950,5.0040,4
VOMITING,297,41.2347,7.1929,7.1907,6.5323,6.5303,4
DYSPEPSIA,65,9.0696,7.1224,7.1134,5.7851,5.7786,4
HYPERHIDROSIS,62,8.7521,7.0388,7.0297,5.6880,5.6819,4
ANURIA,4,0.5166,6.1686,6.8879,1.9639,2.9421,4
TREATMENT NONCOMPLIANCE,43,6.3780,6.6827,6.6735,5.1656,5.1644,4
DRY MOUTH,45,7.1917,6.2079,6.2035,4.8226,4.8290,4
COLD SWEAT,8,1.2470,5.8917,6.1183,2.8826,3.3505,4
THINKING ABNORMAL,6,0.9467,5.5277,5.9662,2.2820,2.9759,4
VISION BLURRED,68,11.3825,5.9449,5.9426,4.8463,4.8503,4
CONSTIPATION,134,22.5814,5.9202,5.9183,5.1244,5.1245,4
FEELING OF BODY TEMPERATURE CHANGE,3,0.4750,4.3950,5.6627,1.2302,2.1331,4
