pt,ror_primary,sig_primary,ror_ps_only,sig_ps_only,ror_us_only,sig_us_only,ror_hcp_only,sig_hcp_only
DROOLING,63.9782,3,63.9782,3,57.8943,3,62.8314,3
URINARY RETENTION,42.4582,3,42.4582,3,70.5248,3,47.0339,3
AMPHETAMINES POSITIVE,191.6999,3,191.6999,3,134.2501,3,622.9123,3
SALIVARY HYPERSECRETION,29.2972,3,29.2972,3,50.3235,3,31.8144,3
"HALLUCINATION, AUDITORY",26.0139,3,26.0139,3,42.8801,3,17.8279,3
VIOLENCE-RELATED SYMPTOM,64.8595,3,64.8595,3,81.3056,3,,0
SOLILOQUY,37.3425,3,37.3425,3,56.0450,3,,0
PSYCHOTIC DISORDER,16.0470,3,16.0470,3,26.7704,3,21.0206,3
PSYCHIATRIC DECOMPENSATION,23.0695,3,23.0695,3,107.6280,3,24.1394,3
VOMITING PROJECTILE,18.7225,3,18.7225,3,17.2304,3,52.9866,3
INTRUSIVE THOUGHTS,22.2373,3,22.2373,3,31.8708,3,,0
MANIA,15.5085,3,15.5085,3,19.6395,3,12.9444,3
TACHYPHRENIA,20.2857,3,20.2857,3,21.6490,3,,0
SCHIZOAFFECTIVE DISORDER,24.2982,3,24.2982,3,67.9138,3,,0
PARANOIA,12.4007,3,12.4007,3,14.7944,3,13.6876,3
SCHIZOPHRENIA,11.7883,3,11.7883,3,38.7308,3,11.9547,3
NEGATIVE THOUGHTS,14.9488,3,14.9488,3,,0,,0
AKATHISIA,9.6021,3,9.6021,3,14.5352,3,7.5367,3
ANGER,8.6883,3,8.6883,3,8.8957,3,11.9397,3
DYSURIA,7.8368,3,7.8368,3,10.0048,3,,0
