pt,a,n_reaction,n_drug,N,b,c,d,expected,prr,prr_lower95,prr_upper95,prr_chi2,ror,ror_lower95,ror_upper95,ic,ic025,ic975,signal_prr,signal_ror,signal_bcpnn,n_methods_signal
CONDITION AGGRAVATED,9,30427,758,1009215,749,30418,978039,22.8531,0.4150,0.2206,0.7807,8.0508,0.4075,0.2149,0.7729,-1.2674,-2.1848,-0.3499,False,False,False,0
"HALLUCINATION, VISUAL",3,1139,758,1009215,755,1136,1007321,0.8555,4.0918,1.4364,11.6563,3.1673,4.1061,1.4345,11.7538,2.0310,0.5195,3.5424,False,True,True,2
PALPITATIONS,5,4166,758,1009215,753,4161,1004296,3.1290,1.7560,0.7632,4.0403,0.6037,1.7615,0.7610,4.0777,0.8126,-0.3931,2.0183,False,False,False,0
MUSCULAR WEAKNESS,4,4652,758,1009215,754,4648,1003809,3.4940,1.2862,0.5117,3.2329,0.0000,1.2879,0.5096,3.2550,0.3639,-0.9690,1.6969,False,False,False,0
HALLUCINATION,4,2848,758,1009215,754,2844,1005613,2.1391,2.1020,0.8360,5.2847,0.8690,2.1085,0.8341,5.3304,1.0717,-0.2612,2.4047,False,False,False,0
PSYCHOTIC DISORDER,22,1485,758,1009215,736,1463,1006994,1.1154,20.4271,13.5532,30.7873,373.3879,21.0206,13.7758,32.0755,4.3329,3.7368,4.9290,True,True,True,3
NAUSEA,163,29297,758,1009215,595,29134,979323,22.0044,7.4563,6.5066,8.5447,924.5648,9.2290,7.7594,10.9769,2.8925,2.6713,3.1136,True,True,True,3
WEIGHT DECREASED,9,10275,758,1009215,749,10266,998191,7.7173,1.2295,0.6534,2.3136,0.0803,1.2324,0.6497,2.3377,0.2988,-0.6186,1.2162,False,False,False,0
GASTROINTESTINAL DISORDER,13,6215,758,1009215,745,6202,1002255,4.6680,2.8919,1.7034,4.9095,13.2322,2.9262,1.7072,5.0154,1.5310,0.7614,2.3006,True,True,True,3
INSOMNIA,5,7331,758,1009215,753,7326,1001131,5.5062,0.9974,0.4336,2.2944,0.0000,0.9974,0.4310,2.3083,-0.0027,-1.2084,1.2031,False,False,False,0
PARANOIA,5,542,758,1009215,753,537,1007920,0.4071,13.5957,5.8871,31.3979,41.2041,13.6876,5.8911,31.8021,3.7537,2.5480,4.9595,True,True,True,3
FATIGUE,7,26767,758,1009215,751,26760,981697,20.1041,0.3724,0.1827,0.7591,8.1235,0.3661,0.1783,0.7517,-1.4235,-2.4560,-0.3910,False,False,False,0
MEMORY IMPAIRMENT,4,3531,758,1009215,754,3527,1004930,2.6521,1.6950,0.6743,4.2608,0.2723,1.6991,0.6722,4.2948,0.7617,-0.5713,2.0946,False,False,False,0
HYPERSENSITIVITY,4,8847,758,1009215,754,8843,999614,6.6448,0.6761,0.2690,1.6990,0.6989,0.6742,0.2668,1.7034,-0.5633,-1.8963,0.7696,False,False,False,0
NIGHT SWEATS,5,1948,758,1009215,753,1943,1006514,1.4631,3.7601,1.6332,8.6567,6.3205,3.7802,1.6320,8.7561,1.9091,0.7034,3.1148,True,True,True,3
TREMOR,8,5006,758,1009215,750,4998,1003459,3.7599,2.2594,1.1572,4.4113,3.7418,2.2737,1.1558,4.4729,1.1757,0.2058,2.1456,False,True,True,2
SALIVARY HYPERSECRETION,12,542,758,1009215,746,530,1007927,0.4071,31.3069,17.9485,54.6075,302.6678,31.8144,18.0741,56.0003,4.9382,4.1384,5.7380,True,True,True,3
DRUG INTERACTION,3,10445,758,1009215,755,10442,998015,7.8450,0.4453,0.1566,1.2668,2.4335,0.4428,0.1549,1.2656,-1.1654,-2.6769,0.3460,False,False,False,0
ASTHENIA,5,13793,758,1009215,753,13788,994669,10.3596,0.5300,0.2304,1.2189,2.3129,0.5266,0.2276,1.2184,-0.9145,-2.1202,0.2913,False,False,False,0
CHEST PAIN,7,6951,758,1009215,751,6944,1001513,5.2207,1.4349,0.7037,2.9261,0.3159,1.4393,0.7008,2.9559,0.5216,-0.5109,1.5541,False,False,False,0
DELUSION,5,601,758,1009215,753,596,1007861,0.4514,12.2509,5.3070,28.2804,36.3609,12.3330,5.3103,28.6429,3.6048,2.3991,4.8105,True,True,True,3
CONFUSIONAL STATE,9,7161,758,1009215,749,7152,1001305,5.3785,1.7647,0.9377,3.3213,1.8260,1.7744,0.9353,3.3664,0.8197,-0.0977,1.7371,False,False,False,0
HYPOTENSION,3,11031,758,1009215,755,11028,997429,8.2852,0.4217,0.1482,1.1995,2.7963,0.4190,0.1466,1.1976,-1.2442,-2.7556,0.2673,False,False,False,0
DRY MOUTH,13,3554,758,1009215,745,3541,1004916,2.6693,5.0648,2.9821,8.6022,36.3598,5.1384,2.9966,8.8111,2.3373,1.5677,3.1068,True,True,True,3
OFF LABEL USE,63,85943,758,1009215,695,85880,922577,64.5500,0.9824,0.7763,1.2433,0.0187,0.9808,0.7585,1.2683,-0.0246,-0.3795,0.3302,False,False,False,0
DEATH,8,33214,758,1009215,750,33206,975251,24.9463,0.3401,0.1743,0.6637,11.2200,0.3326,0.1692,0.6541,-1.5543,-2.5241,-0.5844,False,False,False,0
HEADACHE,11,21490,758,1009215,747,21479,986978,16.1407,0.7114,0.4008,1.2626,1.3643,0.7069,0.3948,1.2658,-0.4901,-1.3239,0.3438,False,False,False,0
AGGRESSION,6,1788,758,1009215,752,1782,1006675,1.3429,4.8451,2.2503,10.4316,12.9008,4.8783,2.2508,10.5727,2.2737,1.1646,3.3828,True,True,True,3
DEPRESSION,3,6015,758,1009215,755,6012,1002445,4.5177,0.7734,0.2719,2.2004,0.2308,0.7724,0.2702,2.2081,-0.3693,-1.8808,1.1421,False,False,False,0
DEHYDRATION,4,3694,758,1009215,754,3690,1004767,2.7745,1.6201,0.6445,4.0725,0.1906,1.6238,0.6424,4.1043,0.6966,-0.6364,2.0295,False,False,False,0
ANGIOEDEMA,7,3275,758,1009215,751,3268,1005189,2.4598,3.0488,1.4945,6.2197,6.6627,3.0692,1.4939,6.3060,1.6072,0.5747,2.6397,True,True,True,3
ADVERSE EVENT,13,3332,758,1009215,745,3319,1005138,2.5026,5.4035,3.1813,9.1781,40.1002,5.4833,3.1975,9.4030,2.4303,1.6607,3.1999,True,True,True,3
DRUG INTOLERANCE,9,6698,758,1009215,749,6689,1001768,5.0307,1.8869,1.0026,3.5512,2.4103,1.8981,1.0005,3.6011,0.9161,-0.0013,1.8335,False,True,False,1
DYSPEPSIA,13,3550,758,1009215,745,3537,1004920,2.6663,5.0705,2.9854,8.6119,36.4229,5.1442,3.0000,8.8211,2.3389,1.5693,3.1085,True,True,True,3
