pt,a,n_reaction,n_drug,N,b,c,d,expected,prr,prr_lower95,prr_upper95,prr_chi2,ror,ror_lower95,ror_upper95,ic,ic025,ic975,signal_prr,signal_ror,signal_bcpnn,n_methods_signal
VOMITING,297,50525,1749,2154081,1452,50228,2102104,41.0236,7.2846,6.5658,8.0821,1630.5273,8.5719,7.5643,9.7136,2.8579,2.6940,3.0219,True,True,True,3
GAIT DISTURBANCE,8,16959,1749,2154081,1741,16951,2135381,13.7698,0.6167,0.3153,1.2062,2.0345,0.6148,0.3133,1.2065,-0.6964,-1.6663,0.2735,False,False,False,0
SEIZURE,6,16358,1749,2154081,1743,16352,2135980,13.2818,0.4889,0.2269,1.0532,3.4922,0.4870,0.2254,1.0521,-1.0314,-2.1405,0.0777,False,False,False,0
WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,6,24380,1749,2154081,1743,24374,2127958,19.7953,0.3280,0.1522,0.7066,9.0392,0.3255,0.1507,0.7032,-1.6071,-2.7162,-0.4980,False,False,False,0
THROAT TIGHTNESS,3,2531,1749,2154081,1746,2528,2149804,2.0550,1.7025,0.5973,4.8521,0.0965,1.7039,0.5966,4.8663,0.7675,-0.7440,2.2790,False,False,False,0
ABDOMINAL DISCOMFORT,36,18861,1749,2154081,1713,18825,2133507,15.3141,2.3846,1.7293,3.2883,26.8642,2.4141,1.7387,3.3518,1.2526,0.7845,1.7206,True,True,True,3
HYPERHIDROSIS,62,10724,1749,2154081,1687,10662,2141670,8.7073,7.2093,5.6473,9.2033,321.9460,7.4393,5.7753,9.5827,2.8431,2.4854,3.2007,True,True,True,3
MOOD ALTERED,3,2642,1749,2154081,1746,2639,2149693,2.1452,1.6309,0.5722,4.6479,0.0588,1.6321,0.5715,4.6613,0.7056,-0.8059,2.2170,False,False,False,0
GALLBLADDER DISORDER,3,1280,1749,2154081,1746,1277,2151055,1.0393,3.3696,1.1815,9.6104,2.0559,3.3744,1.1806,9.6441,1.7508,0.2393,3.2622,False,True,True,2
BLEPHAROSPASM,3,1455,1749,2154081,1746,1452,2150880,1.1814,2.9636,1.0393,8.4511,1.4740,2.9676,1.0385,8.4800,1.5660,0.0545,3.0774,False,True,True,2
TACHYPHRENIA,4,277,1749,2154081,1745,273,2152059,0.2249,20.2361,7.9815,51.3061,47.7362,20.2857,7.9822,51.5535,4.3195,2.9865,5.6525,True,True,True,3
NAUSEA,364,79493,1749,2154081,1385,79129,2073203,64.5441,5.6654,5.1695,6.2089,1438.9327,6.8928,6.1403,7.7374,2.4971,2.3490,2.6452,True,True,True,3
PARANOIA,13,1361,1749,2154081,1736,1348,2150984,1.1051,12.3127,7.2180,21.0035,117.6699,12.4007,7.2397,21.2407,3.6098,2.8402,4.3794,True,True,True,3
WEIGHT DECREASED,32,28957,1749,2154081,1717,28925,2123407,23.5116,1.3819,0.9828,1.9430,2.7534,1.3891,0.9816,1.9658,0.4666,-0.0294,0.9626,False,False,False,0
INSOMNIA,37,23222,1749,2154081,1712,23185,2129147,18.8550,1.9892,1.4490,2.7309,16.7061,2.0109,1.4547,2.7798,0.9915,0.5297,1.4533,False,True,True,2
