pt,a,n_reaction,n_drug,N,b,c,d,expected,prr,prr_lower95,prr_upper95,prr_chi2,ror,ror_lower95,ror_upper95,ic,ic025,ic975,signal_prr,signal_ror,signal_bcpnn,n_methods_signal
SLEEP DISORDER,7,4834,1737,1432164,1730,4827,1425600,5.8629,1.2787,0.6257,2.6130,0.0695,1.2799,0.6244,2.6236,0.3547,-0.6778,1.3872,False,False,False,0
IRRITABILITY,8,2831,1737,1432164,1729,2823,1427604,3.4336,2.4777,1.2658,4.8499,4.8313,2.4850,1.2653,4.8802,1.3071,0.3372,2.2770,True,True,True,3
DIARRHOEA,37,44979,1737,1432164,1700,44942,1385485,54.5528,0.6867,0.5003,0.9426,5.5101,0.6798,0.4918,0.9397,-0.5412,-1.0029,-0.0794,False,False,False,0
DIZZINESS,79,30501,1737,1432164,1658,30422,1400005,36.9931,2.1507,1.7346,2.6667,47.6425,2.2059,1.7609,2.7634,1.1033,0.7861,1.4204,True,True,True,3
VERTIGO,5,3007,1737,1432164,1732,3002,1427425,3.6470,1.5076,0.6540,3.4755,0.2002,1.5092,0.6530,3.4884,0.5921,-0.6137,1.7978,False,False,False,0
LETHARGY,5,3047,1737,1432164,1732,3042,1427385,3.6956,1.4878,0.6454,3.4297,0.1757,1.4894,0.6444,3.4424,0.5730,-0.6327,1.7787,False,False,False,0
COLD SWEAT,8,749,1737,1432164,1729,741,1429686,0.9084,9.4346,4.8062,18.5202,47.9119,9.4761,4.8115,18.6627,3.2246,2.2548,4.1945,True,True,True,3
HYPERSOMNIA,8,2100,1737,1432164,1729,2092,1428335,2.5470,3.3433,1.7074,6.5466,9.6578,3.3548,1.7076,6.5908,1.7379,0.7680,2.7078,True,True,True,3
RETCHING,6,1683,1737,1432164,1731,1677,1428750,2.0412,3.1891,1.4783,6.8796,5.8748,3.1973,1.4779,6.9172,1.6702,0.5611,2.7793,True,True,True,3
PRODUCT DISTRIBUTION ISSUE,3,2970,1737,1432164,1734,2967,1427460,3.6022,0.9707,0.3406,2.7663,0.0029,0.9707,0.3399,2.7720,-0.0422,-1.5536,1.4693,False,False,False,0
SCHIZOAFFECTIVE DISORDER,3,45,1737,1432164,1734,42,1430385,0.0546,67.7790,22.8127,201.3787,109.7056,67.9138,22.8117,202.1895,5.9865,4.4751,7.4980,True,True,True,3
DYSPHAGIA,17,5471,1737,1432164,1720,5454,1424973,6.6355,2.6406,1.6555,4.2119,14.7389,2.6573,1.6580,4.2587,1.3985,0.7226,2.0745,True,True,True,3
DRY EYE,5,7781,1737,1432164,1732,7776,1422651,9.4372,0.5821,0.2526,1.3412,1.6536,0.5808,0.2514,1.3417,-0.7794,-1.9852,0.4263,False,False,False,0
CONSTIPATION,133,18821,1737,1432164,1604,18688,1411739,22.8270,5.8793,4.9919,6.9243,534.5909,6.2852,5.2649,7.5033,2.5476,2.3029,2.7923,True,True,True,3
HYPERTENSION,24,9287,1737,1432164,1713,9263,1421164,11.2637,2.1767,1.4683,3.2269,13.3958,2.1936,1.4714,3.2702,1.1206,0.5493,1.6919,True,True,True,3
ANXIETY,15,15228,1737,1432164,1722,15213,1415214,18.4693,0.8385,0.5107,1.3768,0.4831,0.8371,0.5075,1.3806,-0.2533,-0.9715,0.4649,False,False,False,0
ABDOMINAL DISTENSION,4,6898,1737,1432164,1733,6894,1423533,8.3662,0.5372,0.2134,1.3521,1.7975,0.5360,0.2124,1.3523,-0.8952,-2.2282,0.4378,False,False,False,0
ABDOMINAL PAIN UPPER,34,14128,1737,1432164,1703,14094,1416333,17.1351,2.0146,1.4472,2.8044,15.8041,2.0351,1.4522,2.8520,1.0092,0.5278,1.4906,True,True,True,3
TASTE DISORDER,3,2613,1737,1432164,1734,2610,1427817,3.1692,1.1035,0.3872,3.1449,0.0346,1.1037,0.3864,3.1521,0.1426,-1.3689,1.6540,False,False,False,0
EXTRAPYRAMIDAL DISORDER,4,191,1737,1432164,1733,187,1430240,0.2317,19.7527,7.7640,50.2536,46.1743,19.8014,7.7647,50.4970,4.2757,2.9427,5.6087,True,True,True,3
INCREASED APPETITE,8,2131,1737,1432164,1729,2123,1428304,2.5846,3.2944,1.6825,6.4509,9.3735,3.3057,1.6827,6.4943,1.7168,0.7469,2.6867,True,True,True,3
FLATULENCE,3,4293,1737,1432164,1734,4290,1426137,5.2068,0.6714,0.2356,1.9129,0.5618,0.6707,0.2349,1.9151,-0.5736,-2.0851,0.9378,False,False,False,0
HICCUPS,4,504,1737,1432164,1733,500,1429927,0.6113,7.3999,2.9287,18.6971,13.6727,7.4165,2.9283,18.7839,2.8782,1.5452,4.2112,True,True,True,3
INITIAL INSOMNIA,3,1061,1737,1432164,1734,1058,1429369,1.2868,2.7214,0.9539,7.7639,1.1460,2.7249,0.9531,7.7903,1.4424,-0.0690,2.9539,False,False,False,0
AKATHISIA,8,491,1737,1432164,1729,483,1429944,0.5955,14.4690,7.3558,28.4610,80.1772,14.5352,7.3653,28.6849,3.8334,2.8635,4.8033,True,True,True,3
FATIGUE,32,56762,1737,1432164,1705,56730,1373697,68.8438,0.4715,0.3354,0.6629,20.0026,0.4614,0.3261,0.6529,-1.0833,-1.5793,-0.5873,False,False,False,0
THERAPY INTERRUPTED,11,15609,1737,1432164,1726,15598,1414829,18.9314,0.6068,0.3410,1.0797,2.9529,0.6042,0.3382,1.0792,-0.7196,-1.5534,0.1142,False,False,False,0
HYPERSENSITIVITY,4,10646,1737,1432164,1733,10642,1419785,12.9120,0.3480,0.1383,0.8758,5.5281,0.3463,0.1373,0.8737,-1.5212,-2.8542,-0.1882,False,False,False,0
NIGHT SWEATS,8,1918,1737,1432164,1729,1910,1428517,2.3262,3.6617,1.8698,7.1711,11.5363,3.6748,1.8703,7.2205,1.8687,0.8988,2.8386,True,True,True,3
DRUG INTERACTION,5,4742,1737,1432164,1732,4737,1425690,5.7513,0.9555,0.4146,2.2020,0.0110,0.9554,0.4134,2.2076,-0.0650,-1.2708,1.1407,False,False,False,0
VISUAL IMPAIRMENT,9,10076,1737,1432164,1728,10067,1420360,12.2207,0.7766,0.4118,1.4647,0.6107,0.7754,0.4097,1.4675,-0.3638,-1.2812,0.5536,False,False,False,0
CHEST DISCOMFORT,3,5657,1737,1432164,1734,5654,1424773,6.8611,0.5094,0.1788,1.4513,1.6551,0.5084,0.1781,1.4516,-0.9716,-2.4831,0.5398,False,False,False,0
TREMOR,27,8149,1737,1432164,1710,8122,1422305,9.8835,2.7865,1.9220,4.0399,28.1302,2.8152,1.9303,4.1059,1.4758,0.9366,2.0150,True,True,True,3
UNRESPONSIVE TO STIMULI,3,1393,1737,1432164,1734,1390,1429037,1.6895,2.0716,0.7264,5.9077,0.3897,2.0738,0.7257,5.9264,1.0498,-0.4616,2.5613,False,False,False,0
MEMORY IMPAIRMENT,7,8306,1737,1432164,1730,8299,1422128,10.0739,0.7437,0.3640,1.5195,0.6623,0.7426,0.3624,1.5220,-0.4262,-1.4587,0.6064,False,False,False,0
SALIVARY HYPERSECRETION,23,412,1737,1432164,1714,389,1430038,0.4997,49.6566,32.8339,75.0984,970.0747,50.3235,33.0973,76.5155,5.5533,4.9700,6.1366,True,True,True,3
NAUSEA,361,51658,1737,1432164,1376,51297,1379130,62.6534,5.8000,5.2895,6.3598,1470.6934,7.0606,6.2862,7.9304,2.5281,2.3794,2.6768,True,True,True,3
WEIGHT DECREASED,31,16235,1737,1432164,1706,16204,1414223,19.6906,1.5999,1.1315,2.2622,6.0093,1.6110,1.1321,2.2924,0.6774,0.1736,1.1812,False,True,True,2
