pt,n_reports,median_tto,mean_tto,q25_tto,q75_tto
Vomiting,120,1.0,21.0,0.0,8.0
Nausea,110,1.0,11.9,0.0,6.8
Constipation,60,1.0,8.1,0.0,4.5
Dizziness,39,1.0,17.2,0.0,6.5
Dyspepsia,37,1.0,7.4,0.0,7.0
Urinary retention,30,0.0,2.0,0.0,1.0
Hyperhidrosis,30,1.0,6.4,0.0,4.0
Vision blurred,20,1.0,10.9,0.0,7.0
Fatigue,19,1.0,24.2,0.0,5.0
Abdominal pain upper,19,1.0,22.1,0.0,13.5
Somnolence,19,0.0,27.5,0.0,18.0
Abdominal discomfort,17,3.0,9.8,1.0,11.0
Dry mouth,17,1.0,9.8,0.0,4.0
Headache,16,1.0,37.9,0.0,10.2
Insomnia,15,0.0,4.9,0.0,5.5
Off label use,15,4.0,12.5,1.0,13.5
Gastrooesophageal reflux disease,14,2.0,21.7,1.0,12.5
Drooling,14,2.0,7.2,0.0,6.5
Dysuria,12,1.0,2.2,0.0,1.2
"Hallucination, auditory",11,11.0,13.3,0.0,14.0
Heart rate increased,11,1.0,12.3,0.0,8.0
Tremor,10,0.5,19.2,0.0,7.2
Diarrhoea,10,5.0,11.8,1.0,11.5
Blood pressure increased,9,8.0,12.8,0.0,13.0
Hypertension,9,0.0,1.2,0.0,1.0
Feeling abnormal,8,0.0,2.2,0.0,2.0
Hallucination,8,9.5,21.4,6.5,37.2
Urinary tract infection,7,8.0,15.4,0.5,30.5
Treatment noncompliance,7,0.0,26.7,0.0,19.5
Dysphagia,7,0.0,3.6,0.0,6.5
Anxiety,7,0.0,0.9,0.0,0.0
Weight decreased,7,12.0,103.4,4.5,130.5
Asthenia,6,4.5,5.2,0.5,7.8
Decreased appetite,6,11.0,9.7,3.0,13.8
Malaise,6,0.5,7.7,0.0,1.0
Condition aggravated,6,4.0,5.7,0.2,10.8
Salivary hypersecretion,6,10.0,13.2,1.5,18.5
Suicidal ideation,6,2.5,7.8,0.5,12.0
Depression,5,7.0,7.6,1.0,14.0
Drug ineffective,5,0.0,9.6,0.0,14.0
Cold sweat,5,1.0,4.4,0.0,2.0
"Hallucination, visual",5,11.0,8.8,5.0,14.0
Paranoia,5,1.0,17.8,1.0,13.0
Palpitations,5,4.0,13.4,4.0,9.0
Dysphonia,5,7.0,27.6,0.0,8.0
Brain fog,5,1.0,4.6,0.0,8.0
Dyspnoea,5,0.0,9.0,0.0,4.0
Disturbance in attention,4,1.0,4.8,0.8,5.0
Tachycardia,4,4.5,6.2,0.8,10.0
Gait disturbance,4,8.5,61.5,4.0,66.0
Chest pain,4,11.0,12.0,7.0,16.0
Chills,4,0.0,1.0,0.0,1.0
Hypoaesthesia,4,13.5,20.8,9.8,24.5
Irritability,4,23.0,45.5,15.2,53.2
Hot flush,4,0.5,3.0,0.0,3.5
Movement disorder,4,1.5,5.5,0.0,7.0
Aggression,4,24.0,26.0,10.5,39.5
Anger,4,18.5,15.8,13.0,21.2
Mania,3,0.0,66.7,0.0,100.0
Muscular weakness,3,0.0,1.7,0.0,2.5
Intrusive thoughts,3,1.0,4.3,0.5,6.5
Mental disorder,3,8.0,181.0,4.0,271.5
Accidental overdose,3,3.0,5.3,1.5,8.0
Dehydration,3,8.0,10.0,7.0,12.0
Feeling hot,3,0.0,0.0,0.0,0.0
Death,3,24.0,71.3,13.5,105.5
Confusional state,3,0.0,0.3,0.0,0.5
Visual impairment,3,0.0,0.0,0.0,0.0
Weight increased,3,0.0,1.0,0.0,1.5
Restlessness,3,0.0,3.7,0.0,5.5
Rash,3,15.0,92.7,10.5,136.0
Psychotic disorder,3,34.0,161.0,23.0,235.5
Dyskinesia,3,7.0,5.3,4.0,7.5
Enuresis,2,17.5,17.5,9.2,25.8
Akathisia,2,0.0,0.0,0.0,0.0
Apathy,2,18.5,18.5,9.2,27.8
Fall,2,3.5,3.5,1.8,5.2
Extra dose administered,2,18.0,18.0,16.5,19.5
Eye movement disorder,2,4.5,4.5,3.2,5.8
Blood glucose decreased,2,25.5,25.5,23.8,27.2
Agitation,2,13.0,13.0,6.5,19.5
Delusion,2,20.5,20.5,13.8,27.2
Loss of consciousness,2,0.0,0.0,0.0,0.0
Cystitis,2,10.0,10.0,5.0,15.0
Lethargy,2,10.5,10.5,9.2,11.8
Unresponsive to stimuli,2,150.0,150.0,85.0,215.0
Urticaria,2,3.0,3.0,2.0,4.0
Throat tightness,2,0.5,0.5,0.2,0.8
Retching,2,3.5,3.5,2.2,4.8
Pharyngeal swelling,2,8.5,8.5,6.2,10.8
Tardive dyskinesia,2,17.0,17.0,17.0,17.0
Therapy cessation,2,8.0,8.0,7.0,9.0
Speech disorder,2,0.0,0.0,0.0,0.0
Tachyphrenia,2,13.5,13.5,6.8,20.2
Pollakiuria,2,23.0,23.0,17.5,28.5
Peripheral swelling,2,10.5,10.5,7.8,13.2
Urinary incontinence,2,0.0,0.0,0.0,0.0
Sedation,2,11.5,11.5,10.2,12.8
Pruritus,2,30.0,30.0,21.5,38.5
Pain,2,1.0,1.0,0.5,1.5
Blepharospasm,2,17.5,17.5,10.8,24.2
Abnormal behaviour,2,16.5,16.5,8.2,24.8
Abdominal distension,2,1.5,1.5,0.8,2.2
Abdominal pain,2,7.0,7.0,3.5,10.5
